Date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,1514.0,1514.0,1469.0,1470.7,5827976
2024-01-18,1500.05,1515.5,1480.0,1486.8,2278135
2024-01-17,1583.85,1596.0,1527.25,1536.9,2211606
2024-01-16,1674.75,1683.9,1658.05,1678.95,268968
2024-01-15,1646.15,1681.0,1644.1,1671.85,975007
2024-01-12,1650.05,1656.15,1633.55,1639.55,798897
2024-01-11,1657.95,1662.45,1643.45,1649.0,232762
2024-01-10,1643.9,1659.85,1641.05,1656.0,108428
2024-01-09,1665.15,1677.55,1647.0,1650.4,347365
2024-01-08,1675.25,1682.2,1659.3,1663.75,701842
2024-01-05,1686.7,1704.9,1668.25,1682.5,542815
2024-01-04,1680.05,1694.95,1670.95,1690.1,137203
2024-01-03,1699.05,1702.4,1669.0,1672.85,420893
2024-01-02,1700.55,1702.75,1688.65,1699.25,1377378
2024-01-01,1709.65,1709.65,1691.5,1700.65,808998
2023-12-29,1701.95,1715.6,1695.05,1709.65,917530
2023-12-28,1710.0,1721.7,1701.15,1705.2,452549
2023-12-27,1684.15,1706.1,1679.3,1702.85,609670
2023-12-26,1670.8,1685.95,1668.7,1683.1,167186
2023-12-22,1686.35,1686.35,1666.9,1670.7,1068307
2023-12-21,1651.7,1689.85,1649.45,1686.4,314004
2023-12-20,1655.2,1668.55,1644.2,1656.2,886915
2023-12-19,1646.0,1658.15,1644.0,1653.05,271563
2023-12-18,1660.0,1664.5,1650.7,1656.0,1054348
2023-12-15,1655.2,1666.55,1646.3,1656.3,669526
2023-12-14,1644.0,1658.5,1644.0,1649.95,431339
2023-12-13,1633.65,1636.25,1615.2,1631.6,135396
2023-12-12,1652.55,1656.95,1631.35,1634.5,264768
2023-12-11,1659.95,1664.1,1646.65,1650.75,1345277
2023-12-08,1630.6,1655.0,1630.6,1653.1,1470459
2023-12-07,1627.2,1634.25,1616.0,1630.6,117119
2023-12-06,1636.9,1636.9,1616.9,1627.2,136308
2023-12-05,1622.0,1636.5,1617.0,1623.45,482076
2023-12-04,1590.0,1612.0,1572.95,1609.05,2254759
2023-12-01,1559.0,1565.55,1551.6,1555.5,1238082
2023-11-30,1565.45,1570.1,1542.1,1559.0,425322
2023-11-29,1533.2,1562.5,1533.2,1559.25,623499
2023-11-28,1535.0,1537.85,1525.35,1529.6,170651
2023-11-24,1521.75,1533.85,1520.0,1532.05,1003759
2023-11-23,1509.8,1523.7,1509.0,1521.75,141371
2023-11-22,1513.1,1519.5,1503.6,1512.35,98764
2023-11-21,1512.05,1521.95,1511.35,1517.65,123128
2023-11-20,1512.0,1512.95,1501.55,1505.15,339684
2023-11-17,1498.85,1507.55,1489.2,1505.05,616783
2023-11-16,1510.0,1519.3,1504.3,1508.35,412610
2023-11-15,1500.0,1510.95,1500.0,1504.3,357471
2023-11-13,1490.35,1496.0,1485.95,1489.15,608994
2023-11-10,1484.35,1496.75,1480.9,1490.45,600868
2023-11-09,1488.95,1492.8,1483.7,1487.2,289296
2023-11-08,1487.9,1493.25,1480.5,1491.2,322820
2023-11-07,1496.95,1496.95,1477.2,1488.6,408634
2023-11-06,1498.8,1498.8,1483.55,1494.2,348983
2023-11-03,1488.0,1491.45,1481.0,1483.55,1061846
2023-11-02,1488.0,1490.8,1470.25,1476.85,149155
2023-11-01,1465.0,1477.5,1463.55,1474.75,305922
2023-10-31,1500.05,1500.5,1474.0,1476.7,136966
2023-10-30,1465.0,1489.9,1462.15,1484.9,382441
2023-10-27,1473.45,1478.45,1467.0,1469.55,1166916
2023-10-26,1495.0,1495.0,1460.55,1463.5,1139500
2023-10-25,1522.0,1522.0,1491.5,1496.55,289287
2023-10-23,1525.0,1528.95,1500.35,1505.8,337037
2023-10-20,1502.25,1527.0,1502.25,1523.05,848642
2023-10-19,1507.0,1526.25,1503.35,1514.95,575167
2023-10-18,1541.95,1541.95,1518.15,1519.7,443038
2023-10-17,1558.0,1558.0,1535.0,1541.35,366832
2023-10-16,1536.7,1536.7,1522.0,1529.5,589621
2023-10-13,1541.4,1548.7,1530.0,1536.75,1179508
2023-10-12,1538.0,1552.0,1531.65,1549.85,319472
2023-10-11,1539.5,1542.35,1529.0,1538.6,1089099
2023-10-10,1521.0,1528.95,1515.3,1524.6,108219
2023-10-09,1529.0,1529.0,1512.35,1516.15,367091
2023-10-06,1545.95,1545.95,1530.75,1534.15,544555
2023-10-05,1536.7,1551.9,1533.95,1535.85,1539282
2023-10-04,1500.0,1535.4,1488.65,1530.8,535059
2023-10-03,1526.55,1527.0,1506.0,1507.95,611769
2023-09-29,1524.0,1535.5,1522.95,1526.55,196830
2023-09-28,1535.3,1537.8,1520.0,1522.95,462267
2023-09-27,1529.85,1532.75,1515.35,1527.2,616804
2023-09-26,1526.95,1539.5,1525.4,1537.65,494200
2023-09-25,1528.0,1540.8,1525.7,1531.7,306624
2023-09-22,1557.0,1564.15,1524.0,1529.2,1103048
2023-09-21,1560.0,1569.0,1538.05,1553.6,1236145
2023-09-20,1599.0,1599.0,1560.6,1563.9,1922144
2023-09-18,1655.0,1655.0,1626.2,1629.05,369395
2023-09-15,1645.6,1669.25,1645.6,1661.9,420909
2023-09-14,1644.0,1650.0,1635.1,1641.5,914221
2023-09-13,1634.0,1651.6,1629.4,1643.85,191918
2023-09-12,1641.0,1642.45,1624.0,1636.8,647572
2023-09-11,1633.95,1636.5,1624.5,1632.05,389475
2023-09-08,1609.0,1632.8,1607.35,1624.05,816192
2023-09-07,1596.95,1614.0,1587.3,1610.85,553944
2023-09-06,1575.5,1600.0,1573.65,1596.55,410232
2023-09-05,1588.55,1589.45,1571.05,1575.1,142318
2023-09-04,1583.0,1590.6,1575.0,1584.15,386830
2023-09-01,1570.0,1579.45,1559.35,1574.85,1181899
2023-08-31,1581.95,1581.95,1562.4,1571.95,754704
2023-08-30,1602.35,1603.5,1573.5,1578.95,554584
2023-08-29,1590.15,1592.75,1580.6,1590.3,455243
2023-08-28,1560.0,1582.55,1560.0,1577.7,2072087
2023-08-25,1576.95,1576.95,1557.7,1561.95,1176338
