Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,2514.1499,2523.8501,2465.0,2469.3,82713
2024-01-19,2565.0,2574.75,2539.25,2564.75,183203
2024-01-18,2564.1,2568.0,2537.15,2548.05,77650
2024-01-17,2559.8999,2570.0,2540.0,2563.8,112942
2024-01-16,2575.8501,2585.5,2562.1001,2568.05,72525
2024-01-15,2545.25,2579.0,2531.0,2573.1499,88886
2024-01-12,2536.05,2554.7,2512.1001,2545.25,327265
2024-01-11,2580.3501,2589.3999,2532.0,2537.05,56711
2024-01-10,2581.1001,2594.0,2565.0,2577.2,24530
2024-01-09,2578.95,2588.95,2571.05,2581.1001,104691
2024-01-08,2620.45,2623.8501,2566.6499,2578.8501,95301
2024-01-05,2597.6499,2630.0,2597.6001,2620.3,157089
2024-01-04,2605.3,2622.95,2586.05,2592.2,33382
2024-01-03,2601.7,2628.7,2600.0,2605.3,29220
2024-01-02,2654.8501,2654.8501,2606.0,2613.5,78680
2024-01-01,2664.0,2669.0,2637.55,2655.7,17716
2023-12-29,2633.8,2666.0,2620.1499,2663.3501,161544
2023-12-28,2609.3,2638.0,2606.8,2633.8501,103914
2023-12-27,2588.6499,2613.0,2580.05,2609.25,145757
2023-12-26,2578.6499,2592.0,2567.55,2585.75,43861
2023-12-22,2556.7,2580.0,2547.3,2575.1001,143078
2023-12-21,2530.8,2579.75,2530.8,2553.3999,37716
2023-12-20,2570.3,2571.25,2547.8,2556.8,121575
2023-12-19,2538.05,2566.75,2535.5,2561.5,86956
2023-12-18,2522.0,2543.95,2515.0,2535.45,144846
2023-12-15,2518.5,2530.3999,2507.0,2523.0,195838
2023-12-14,2519.95,2520.0,2502.0,2518.5,92902
2023-12-13,2510.0,2516.0,2498.55,2511.8501,56716
2023-12-12,2500.05,2517.8,2497.55,2502.25,83051
2023-12-11,2521.8,2522.3,2500.0,2504.45,76315
2023-12-08,2520.0,2533.3501,2509.8999,2521.3501,228719
2023-12-07,2559.95,2559.95,2499.25,2520.0,108306
2023-12-06,2570.0,2583.5,2560.6499,2566.1001,131749
2023-12-05,2620.0,2635.1499,2557.45,2563.2,170139
2023-12-04,2586.7,2609.45,2574.55,2601.8999,76970
2023-12-01,2546.7,2581.2,2542.05,2563.25,252932
2023-11-30,2520.0,2554.75,2519.7,2546.7,56983
2023-11-29,2509.8999,2527.75,2509.2,2524.05,34704
2023-11-28,2520.0,2528.0,2501.0,2511.25,68002
2023-11-24,2511.1499,2520.8,2507.3501,2514.95,158210
2023-11-23,2519.95,2528.05,2507.05,2520.45,71129
2023-11-22,2505.25,2524.25,2505.0,2521.7,8811
2023-11-21,2507.8,2517.0,2498.0,2505.1001,21784
2023-11-20,2530.05,2534.3999,2500.0,2505.75,24927
2023-11-17,2474.95,2533.8501,2466.7,2529.45,134534
2023-11-16,2487.95,2506.3501,2475.0,2489.2,212441
2023-11-15,2490.0,2500.1001,2476.0,2488.25,118243
2023-11-13,2475.05,2487.05,2471.3,2482.8999,46175
2023-11-10,2478.0,2489.0,2464.95,2486.75,123839
2023-11-09,2524.8,2524.8,2474.0,2477.55,81832
2023-11-08,2500.0,2525.0,2496.75,2517.3501,44345
2023-11-07,2495.2,2505.0,2486.0,2500.25,157422
2023-11-06,2510.05,2517.3501,2491.05,2501.2,164950
2023-11-03,2497.5,2512.55,2485.55,2508.6001,174694
2023-11-02,2473.05,2492.0,2463.45,2489.25,41298
2023-11-01,2484.0,2493.95,2467.0,2472.8999,41429
2023-10-31,2478.0,2492.6001,2468.8,2484.0,7376
2023-10-30,2468.55,2492.0,2462.8501,2478.5,11964
2023-10-27,2472.5,2494.95,2463.65,2481.7,46182
2023-10-26,2455.05,2490.0,2455.05,2476.15,260865
2023-10-25,2474.95,2491.25,2465.0,2478.55,90212
2023-10-23,2495.5,2509.9,2481.0,2484.6,46406
2023-10-20,2520.0,2534.0,2484.8,2495.0,262622
2023-10-19,2521.1,2553.6,2521.1,2547.85,319790
2023-10-18,2566.3,2568.0,2539.4,2547.9,45221
