Date,1. open,2. high,3. low,4. close,5. volume
2024-01-23,706.0,732.45,706.0,728.9,74602
2024-01-20,720.1,725.55,701.1,703.45,17394
2024-01-19,711.05,726.65,710.7,719.85,31171
2024-01-18,709.4,713.6,685.85,708.85,31335
2024-01-17,704.5,710.95,699.7,709.4,19962
2024-01-16,706.15,716.75,699.1,706.2,21529
2024-01-15,703.1,724.05,700.3,716.5,37421
2024-01-12,706.15,707.35,696.55,703.7,15700
2024-01-11,708.85,711.1,701.0,704.15,14138
2024-01-10,714.45,717.95,699.5,706.65,22017
2024-01-09,713.95,718.95,711.0,712.6,37670
2024-01-08,715.35,720.1,707.9,710.75,91640
2024-01-05,710.25,715.5,706.0,714.2,51180
2024-01-04,712.0,715.7,707.6,709.5,24080
2024-01-03,712.5,716.0,708.65,709.8,62071
2024-01-02,705.1,715.0,700.25,712.4,50715
2024-01-01,690.25,707.45,684.75,698.25,233692
2023-12-29,688.05,691.0,683.9,689.05,17047
2023-12-28,688.6,692.4,681.6,686.2,30822
2023-12-27,669.0,693.2,666.25,688.6,90385
2023-12-26,678.9,686.5,674.15,676.15,124756
2023-12-22,675.0,689.15,673.65,679.95,29071
2023-12-21,656.45,673.75,648.05,670.9,60890
2023-12-20,689.95,696.65,659.3,662.1,61991
2023-12-19,682.5,694.0,671.15,685.7,208302
2023-12-18,650.4,682.3,650.4,680.7,542407
2023-12-15,651.05,651.05,642.45,646.2,16151
2023-12-14,648.85,649.55,641.0,643.5,24512
2023-12-13,634.25,648.0,634.0,641.8,117368
2023-12-12,637.5,640.4,633.6,635.2,11298
2023-12-11,645.0,645.0,632.05,633.2,52143
2023-12-08,662.55,664.0,631.1,638.55,128064
2023-12-07,641.95,659.65,635.0,658.2,57242
2023-12-06,636.0,644.15,634.75,635.3,15037
2023-12-05,635.35,643.25,632.15,633.5,14100
2023-12-04,642.15,648.0,630.15,633.25,25902
2023-12-01,640.0,648.7,637.2,639.2,125244
2023-11-30,635.05,640.65,633.5,637.85,12034
2023-11-29,634.95,637.6,630.05,634.95,26037
2023-11-28,644.95,644.95,628.05,629.95,9259
2023-11-24,631.9,648.0,631.9,639.85,15052
2023-11-23,643.1,644.45,629.1,630.9,43688
2023-11-22,639.1,649.0,639.1,642.25,25378
2023-11-21,636.0,644.2,636.0,638.95,11502
2023-11-20,640.0,644.5,633.35,635.9,12794
2023-11-17,635.0,639.2,632.5,636.4,14525
2023-11-16,621.0,635.4,619.25,631.7,44058
2023-11-15,613.6,625.3,613.6,620.85,51376
2023-11-13,622.95,622.95,616.1,619.85,27959
2023-11-10,602.1,620.9,602.1,619.85,33437
2023-11-09,631.7,631.7,609.05,612.75,49132
2023-11-08,604.95,634.15,598.05,625.35,112521
2023-11-07,584.4,602.5,584.4,597.05,61972
2023-11-06,585.05,591.05,579.75,584.35,11869
2023-11-03,581.6,588.25,579.9,584.6,13412
2023-11-02,578.3,580.65,571.65,577.65,10690
2023-11-01,580.6,580.6,570.35,575.3,20254
2023-10-31,589.95,589.95,572.25,573.8,6987
2023-10-30,577.15,582.3,574.5,579.85,11136
2023-10-27,572.2,580.0,572.2,574.8,17368
2023-10-26,573.65,574.0,567.85,571.6,10078
2023-10-25,570.0,576.5,569.25,574.45,23968
2023-10-23,578.6,589.15,568.05,570.45,15527
2023-10-20,590.95,590.95,573.8,578.55,16481
2023-10-19,587.6,591.2,581.45,589.25,14646
2023-10-18,595.85,596.75,581.9,583.4,14929
2023-10-17,593.0,597.3,588.65,589.7,27599
2023-10-16,591.9,592.3,586.3,590.3,16558
2023-10-13,590.0,594.0,587.2,591.65,20426
2023-10-12,608.85,608.85,591.8,593.3,14632
2023-10-11,603.95,606.0,598.25,599.35,28989
2023-10-10,596.05,602.4,596.05,599.6,13578
2023-10-09,598.15,606.85,596.65,600.65,13272
2023-10-06,605.05,610.25,599.95,603.55,96397
2023-10-05,602.95,613.25,600.85,604.65,222345
2023-10-04,611.0,613.0,598.0,602.55,17380
2023-10-03,616.0,618.1,608.0,610.45,42649
2023-09-29,606.95,621.65,601.85,615.15,36409
2023-09-28,606.4,609.9,599.0,602.55,45380
2023-09-27,607.95,607.95,597.0,605.2,20340
2023-09-26,604.85,605.95,597.1,597.85,12992
2023-09-25,587.05,606.0,587.05,602.25,41996
2023-09-22,615.75,618.4,594.75,595.6,28327
2023-09-21,628.35,635.3,614.05,615.55,47448
2023-09-20,645.0,645.0,623.4,624.5,48222
2023-09-18,641.6,653.55,641.0,643.45,58211
2023-09-15,641.8,649.0,641.0,645.65,18675
2023-09-14,646.7,649.4,637.35,639.7,44864
2023-09-13,626.95,644.2,626.05,643.15,22760
2023-09-12,626.45,642.85,624.15,627.65,70941
2023-09-11,629.05,634.6,626.5,628.7,36223
2023-09-08,633.6,636.1,622.6,628.35,23911
2023-09-07,638.3,643.4,631.3,632.2,20910
2023-09-06,636.95,644.2,634.5,635.55,21487
2023-09-05,624.0,636.25,622.9,633.75,94060
2023-09-04,605.6,625.3,605.6,620.6,24007
2023-09-01,627.95,629.0,612.6,613.7,39288
2023-08-31,631.05,633.9,622.05,625.45,34461
2023-08-30,631.55,637.35,627.45,628.15,22307
2023-08-29,628.8,640.8,628.8,632.0,26527
