Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,5.73,5.73,5.73,5.73,250801
2024-01-25 18:00:00,5.73,5.73,5.73,5.73,250801
2024-01-25 17:00:00,5.74,5.74,5.7,5.74,1512
2024-01-25 16:00:00,5.715,5.73,5.7,5.73,795372
2024-01-25 15:00:00,5.715,5.725,5.71,5.72,403657
2024-01-25 14:00:00,5.715,5.72,5.71,5.715,227533
2024-01-25 13:00:00,5.72,5.72,5.71,5.72,199119
2024-01-25 12:00:00,5.715,5.72,5.71,5.715,105547
2024-01-25 11:00:00,5.705,5.72,5.7,5.715,166816
2024-01-25 10:00:00,5.715,5.72,5.7,5.705,314128
2024-01-25 09:00:00,5.7,5.72,5.63,5.715,452696
2024-01-25 08:00:00,5.699,5.72,5.61,5.68,355
2024-01-25 07:00:00,5.68,5.68,5.68,5.68,640
2024-01-25 06:00:00,5.7,5.7,5.7,5.7,3
2024-01-25 04:00:00,5.69,5.69,5.62,5.62,518
2024-01-24 19:00:00,5.75,5.8,5.75,5.8,224654
2024-01-24 18:00:00,5.75,5.816,5.75,5.816,224676
2024-01-24 17:00:00,5.7,5.7,5.7,5.7,3
2024-01-24 16:00:00,5.743,5.75,5.71,5.75,692496
2024-01-24 15:00:00,5.77,5.77,5.74,5.743,562399
2024-01-24 14:00:00,5.76,5.77,5.75,5.77,282720
2024-01-24 13:00:00,5.775,5.775,5.744,5.755,179383
2024-01-24 12:00:00,5.79,5.798,5.77,5.775,200100
2024-01-24 11:00:00,5.785,5.798,5.78,5.79,265528
2024-01-24 10:00:00,5.765,5.8,5.75,5.788,247642
2024-01-24 09:00:00,5.75,5.8,5.7,5.765,183918
2024-01-24 08:00:00,5.72,5.72,5.72,5.72,10
2024-01-24 06:00:00,5.72,5.72,5.72,5.72,10
2024-01-24 05:00:00,5.7,5.76,5.7,5.76,205
2024-01-23 19:00:00,5.68,5.68,5.68,5.68,298611
2024-01-23 18:00:00,5.68,5.68,5.68,5.68,298611
2024-01-23 17:00:00,5.69,5.69,5.69,5.69,53
2024-01-23 16:00:00,5.685,5.69,5.67,5.68,928670
2024-01-23 15:00:00,5.67,5.69,5.66,5.685,720661
2024-01-23 14:00:00,5.66,5.68,5.66,5.67,356392
2024-01-23 13:00:00,5.66,5.67,5.652,5.66,249803
2024-01-23 12:00:00,5.66,5.66,5.65,5.66,67480
2024-01-23 11:00:00,5.69,5.696,5.65,5.66,320406
2024-01-23 10:00:00,5.67,5.69,5.66,5.69,362929
2024-01-23 09:00:00,5.709,5.709,5.62,5.665,290451
2024-01-23 08:00:00,5.7,5.7,5.57,5.57,13
2024-01-23 07:00:00,5.68,5.68,5.67,5.67,32
2024-01-23 06:00:00,5.72,5.72,5.67,5.68,10655
2024-01-23 05:00:00,5.72,5.72,5.72,5.72,20
2024-01-23 04:00:00,5.67,5.67,5.67,5.67,1
2024-01-22 19:00:00,5.738,5.738,5.738,5.738,312171
2024-01-22 18:00:00,5.71,5.738,5.708,5.738,313036
2024-01-22 17:00:00,5.738,5.738,5.738,5.738,1
2024-01-22 16:00:00,5.743,5.748,5.718,5.718,1000463
2024-01-22 15:00:00,5.728,5.758,5.718,5.748,717450
2024-01-22 14:00:00,5.738,5.738,5.728,5.733,277378
2024-01-22 13:00:00,5.743,5.743,5.718,5.738,150840
2024-01-22 12:00:00,5.723,5.748,5.718,5.743,120519
2024-01-22 11:00:00,5.723,5.738,5.718,5.723,173651
2024-01-22 10:00:00,5.773,5.778,5.723,5.723,324388
2024-01-22 09:00:00,5.718,5.768,5.708,5.768,362263
2024-01-22 08:00:00,5.717,5.718,5.658,5.698,169
2024-01-22 07:00:00,5.668,5.688,5.668,5.688,152
2024-01-22 06:00:00,5.718,5.718,5.718,5.718,15
2024-01-22 05:00:00,5.718,5.718,5.718,5.718,24
2024-01-22 04:00:00,5.728,5.778,5.718,5.718,2899
2024-01-19 19:00:00,5.768,5.768,5.768,5.768,689887
2024-01-19 18:00:00,5.768,5.778,5.768,5.768,690141
2024-01-19 17:00:00,5.748,5.778,5.748,5.777,12
2024-01-19 16:00:00,5.773,5.778,5.738,5.778,2211478
2024-01-19 15:00:00,5.773,5.778,5.738,5.773,1266828
2024-01-19 14:00:00,5.763,5.778,5.758,5.773,151372
2024-01-19 13:00:00,5.748,5.768,5.738,5.763,261945
2024-01-19 12:00:00,5.738,5.748,5.738,5.743,215201
2024-01-19 11:00:00,5.738,5.748,5.738,5.738,86225
2024-01-19 10:00:00,5.768,5.778,5.738,5.743,205655
2024-01-19 09:00:00,5.818,5.818,5.738,5.768,461456
2024-01-19 08:00:00,5.937,5.937,5.788,5.808,298
2024-01-19 07:00:00,5.848,5.897,5.848,5.878,214
2024-01-19 06:00:00,5.967,5.967,5.967,5.967,25
2024-01-19 05:00:00,6.786,6.786,6.007,6.007,31
2024-01-18 19:00:00,5.768,5.768,5.768,5.768,312043
2024-01-18 18:00:00,5.758,5.768,5.698,5.768,312068
2024-01-18 17:00:00,5.768,5.768,5.768,5.768,6
2024-01-18 16:00:00,5.768,5.768,5.728,5.758,955765
2024-01-18 15:00:00,5.733,5.768,5.728,5.768,728829
2024-01-18 14:00:00,5.713,5.748,5.708,5.733,554180
2024-01-18 13:00:00,5.698,5.738,5.688,5.713,602256
2024-01-18 12:00:00,5.718,5.728,5.698,5.703,225870
2024-01-18 11:00:00,5.743,5.743,5.708,5.723,287615
2024-01-18 10:00:00,5.763,5.778,5.738,5.738,290388
2024-01-18 09:00:00,5.708,5.818,5.698,5.758,332828
2024-01-18 08:00:00,5.838,5.838,5.688,5.838,104
2024-01-17 19:00:00,5.678,5.678,5.678,5.678,445159
2024-01-17 18:00:00,5.678,5.678,5.678,5.678,445159
2024-01-17 17:00:00,5.728,5.728,5.728,5.728,16
2024-01-17 16:00:00,5.688,5.698,5.658,5.658,1351006
2024-01-17 15:00:00,5.698,5.698,5.668,5.698,1301381
2024-01-17 14:00:00,5.668,5.698,5.668,5.693,448621
2024-01-17 13:00:00,5.688,5.693,5.668,5.668,252225
2024-01-17 12:00:00,5.708,5.708,5.688,5.693,466437
2024-01-17 11:00:00,5.688,5.708,5.678,5.703,890244
2024-01-17 10:00:00,5.708,5.748,5.688,5.693,530609
2024-01-17 09:00:00,5.738,5.748,5.708,5.708,345542
2024-01-17 08:00:00,5.738,5.907,5.708,5.708,292
