Date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,189.33,191.95,188.82,191.56,68902985
2024-01-18,186.09,189.14,185.83,188.63,78005754
2024-01-17,181.27,182.93,180.3,182.68,47317433
2024-01-16,182.16,184.26,180.934,183.63,65603041
2024-01-12,186.06,186.74,185.19,185.92,40477782
2024-01-11,186.54,187.05,183.62,185.59,49128408
2024-01-10,184.35,186.4,183.92,186.19,46792908
2024-01-09,183.92,185.15,182.73,185.14,42841809
2024-01-08,182.085,185.6,181.5,185.56,59144470
2024-01-05,181.99,182.76,180.17,181.18,62196924
2024-01-04,182.15,183.0872,180.88,181.91,71983570
2024-01-03,184.22,185.88,183.43,184.25,58414460
2024-01-02,187.15,188.44,183.885,185.64,82488674
2023-12-29,193.9,194.4,191.725,192.53,42672148
2023-12-28,194.14,194.66,193.17,193.58,34049898
2023-12-27,192.49,193.5,191.09,193.15,47899806
2023-12-26,193.61,193.89,192.83,193.05,28919310
2023-12-22,195.18,195.41,192.97,193.6,37149570
2023-12-21,196.1,197.08,193.5,194.68,46482549
2023-12-20,196.9,197.68,194.83,194.83,52242815
2023-12-19,196.16,196.95,195.89,196.94,40233138
2023-12-18,196.09,196.63,194.39,195.89,55751861
2023-12-15,197.53,198.3999,197.0,197.57,128538401
2023-12-14,198.02,199.62,196.16,198.11,66831572
2023-12-13,195.09,198.0,194.85,197.96,70404183
2023-12-12,193.08,194.72,191.721,194.71,52696900
2023-12-11,193.11,193.49,191.42,193.18,60943699
2023-12-08,194.2,195.99,193.67,195.71,53406358
2023-12-07,193.63,195.0,193.59,194.27,47477655
2023-12-06,194.45,194.76,192.11,192.32,40895115
2023-12-05,190.21,194.4,190.18,193.42,66628398
2023-12-04,189.98,190.05,187.4511,189.43,43389519
2023-12-01,190.33,191.56,189.23,191.24,45704823
2023-11-30,189.84,190.32,188.19,189.95,48794366
2023-11-29,190.9,192.09,188.97,189.37,43014224
2023-11-28,189.78,191.08,189.4,190.4,38415419
2023-11-27,189.92,190.67,188.9,189.79,40552609
2023-11-24,190.87,190.9,189.25,189.97,24048344
2023-11-22,191.49,192.93,190.825,191.31,39630011
2023-11-21,191.41,191.52,189.74,190.64,38134485
2023-11-20,189.89,191.905,189.88,191.45,46538614
2023-11-17,190.25,190.38,188.57,189.69,50941404
2023-11-16,189.57,190.96,188.65,189.71,54412915
2023-11-15,187.845,189.5,187.78,188.01,53790499
2023-11-14,187.7,188.11,186.3,187.44,60108378
2023-11-13,185.82,186.03,184.21,184.8,43627519
2023-11-10,183.97,186.565,183.53,186.4,66177922
2023-11-09,182.96,184.12,181.81,182.41,53763540
2023-11-08,182.35,183.45,181.59,182.89,49340282
2023-11-07,179.18,182.44,178.97,181.82,70529966
2023-11-06,176.38,179.43,176.21,179.23,63841310
2023-11-03,174.24,176.82,173.35,176.65,79829246
2023-11-02,175.52,177.78,175.46,177.57,77334752
2023-11-01,171.0,174.23,170.12,173.97,56934906
2023-10-31,169.35,170.9,167.9,170.77,44846017
2023-10-30,169.02,171.17,168.87,170.29,51130955
2023-10-27,166.91,168.96,166.83,168.22,58499129
2023-10-26,170.37,171.3775,165.67,166.89,70625258
2023-10-25,171.88,173.06,170.65,171.1,57156962
2023-10-24,173.05,173.67,171.45,173.44,43816644
2023-10-23,170.91,174.01,169.93,173.0,55980109
2023-10-20,175.31,175.42,172.64,172.88,64244028
2023-10-19,176.04,177.84,175.19,175.46,59302863
2023-10-18,175.58,177.575,175.11,175.84,54764375
2023-10-17,176.645,178.42,174.8,177.15,57549350
2023-10-16,176.75,179.075,176.51,178.72,52516984
2023-10-13,181.42,181.93,178.14,178.85,51456082
2023-10-12,180.07,182.34,179.04,180.71,56743119
2023-10-11,178.2,179.85,177.6,179.8,47551098
2023-10-10,178.1,179.72,177.95,178.39,43698019
2023-10-09,176.81,179.05,175.8,178.99,42390772
2023-10-06,173.8,177.99,173.18,177.49,57266675
2023-10-05,173.79,175.45,172.68,174.91,48527918
2023-10-04,171.09,174.21,170.97,173.66,53020286
2023-10-03,172.255,173.63,170.82,172.4,49594613
2023-10-02,171.22,174.3,170.93,173.75,52164535
2023-09-29,172.02,173.07,170.341,171.21,51861083
2023-09-28,169.34,172.03,167.62,170.69,56294419
2023-09-27,172.62,173.04,169.05,170.43,66921808
2023-09-26,174.82,175.2,171.66,171.96,64588945
2023-09-25,174.2,176.97,174.15,176.08,46172740
2023-09-22,174.67,177.079,174.05,174.79,56725385
2023-09-21,174.55,176.3,173.86,173.93,63149116
2023-09-20,179.26,179.695,175.4,175.49,58436181
2023-09-19,177.52,179.63,177.13,179.07,51826941
2023-09-18,176.48,179.38,176.17,177.97,67257573
2023-09-15,176.48,176.495,173.82,175.01,109259461
2023-09-14,174.0,176.1,173.58,175.74,60895757
2023-09-13,176.51,177.3,173.98,174.21,84267928
2023-09-12,179.49,180.13,174.82,176.3,90370192
2023-09-11,180.07,180.3,177.34,179.36,58953052
2023-09-08,178.35,180.239,177.79,178.18,65602066
2023-09-07,175.18,178.21,173.54,177.56,112488803
2023-09-06,188.4,188.85,181.47,182.91,81755816
2023-09-05,188.28,189.98,187.61,189.7,45280027
2023-09-01,189.485,189.92,188.28,189.46,45766503
2023-08-31,187.84,189.12,187.48,187.87,60794467
2023-08-30,184.94,187.85,184.74,187.65,60813888
2023-08-29,179.695,184.9,179.5,184.12,53003948
2023-08-28,180.09,180.59,178.545,180.19,43820697
