Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,1571.55,1699.95,1571.55,1676.85,62163
2024-01-19,1606.95,1620.0,1563.05,1570.05,130180
2024-01-18,1615.0,1629.15,1564.7,1589.55,143806
2024-01-17,1650.25,1656.55,1605.0,1616.25,53524
2024-01-16,1694.0,1694.0,1660.0,1665.4,40364
2024-01-15,1726.75,1726.75,1685.0,1692.75,142239
2024-01-12,1727.85,1746.3,1705.0,1711.0,129323
2024-01-11,1749.9,1760.35,1701.0,1714.7,62923
2024-01-10,1700.35,1753.0,1690.0,1722.95,383181
2024-01-09,1698.65,1722.0,1678.0,1683.4,138926
2024-01-08,1687.85,1712.5,1665.0,1681.3,43198
2024-01-05,1698.95,1700.0,1660.0,1673.7,40252
2024-01-04,1709.95,1720.0,1674.35,1691.4,246907
2024-01-03,1690.0,1749.0,1611.0,1698.75,368770
2024-01-02,1598.35,1616.6,1566.45,1602.6,36668
2024-01-01,1597.1,1621.2,1581.7,1598.35,151226
2023-12-29,1564.5,1616.75,1542.25,1597.05,178975
2023-12-28,1607.95,1607.95,1555.0,1561.5,45243
2023-12-27,1649.95,1657.5,1571.05,1599.3,116794
2023-12-26,1555.0,1630.0,1552.0,1599.9,422145
2023-12-22,1544.0,1544.0,1497.7,1533.95,200846
2023-12-21,1393.0,1549.4,1392.95,1519.85,103207
2023-12-20,1532.05,1569.0,1385.7,1451.75,83748
2023-12-19,1529.0,1551.0,1505.1,1531.1,161437
2023-12-18,1524.95,1545.0,1500.3,1525.4,47812
2023-12-15,1525.4,1540.0,1501.8,1525.75,263107
2023-12-14,1432.25,1540.35,1432.25,1509.4,170667
2023-12-13,1452.95,1459.4,1375.0,1427.1,443062
2023-12-12,1531.05,1540.0,1454.3,1463.9,109967
2023-12-11,1556.0,1580.0,1478.0,1529.55,382841
2023-12-08,1653.95,1670.0,1495.0,1550.55,981597
2023-12-07,1596.0,1699.4,1565.0,1624.4,1192320
2023-12-06,1480.0,1605.65,1462.05,1565.1,977047
2023-12-05,1125.0,1348.0,1098.0,1348.0,938806
2023-12-04,1151.0,1178.0,1092.0,1123.35,868588
2023-12-01,1035.05,1044.9,1020.05,1026.55,75369
2023-11-30,1044.95,1044.95,1007.0,1028.5,130216
2023-11-29,1084.75,1122.9,1021.05,1040.75,385485
2023-11-28,952.0,1099.0,952.0,1052.45,628918
2023-11-24,935.05,953.05,920.2,937.4,35758
2023-11-23,916.0,935.2,910.8,930.55,14050
2023-11-22,922.15,930.0,910.05,914.35,51452
2023-11-21,926.15,937.45,921.5,926.7,21558
2023-11-20,931.6,938.0,915.0,926.15,83241
2023-11-17,941.0,944.95,932.7,936.4,63055
2023-11-16,942.05,950.25,939.55,941.35,19089
2023-11-15,950.05,954.8,940.1,949.75,21836
2023-11-13,943.65,945.35,933.0,939.65,15869
2023-11-10,944.9,945.4,927.05,939.65,18794
2023-11-09,950.05,954.0,933.6,937.6,23013
2023-11-08,934.9,950.0,931.4,946.3,100223
2023-11-07,939.75,953.2,918.0,933.2,58787
2023-11-06,905.05,929.0,905.05,925.55,32691
2023-11-03,897.8,907.7,897.75,902.55,17305
2023-11-02,897.0,912.65,884.45,890.7,45226
2023-11-01,917.0,921.3,875.05,879.4,40167
2023-10-31,920.95,932.35,897.95,909.35,76629
2023-10-30,875.95,939.8,868.05,914.65,212930
2023-10-27,851.05,896.0,851.05,871.5,143681
2023-10-26,865.0,870.0,816.0,849.15,225167
2023-10-25,881.5,899.0,863.75,876.8,94341
2023-10-23,928.0,929.6,876.0,881.5,41705
2023-10-20,939.7,946.85,916.25,920.1,18429
2023-10-19,937.0,943.15,923.0,932.8,66628
2023-10-18,948.5,953.95,938.0,939.25,16837
2023-10-17,950.0,958.45,944.4,948.25,67914
2023-10-16,948.65,955.0,936.0,939.2,21232
2023-10-13,948.75,951.95,942.0,948.6,56351
2023-10-12,965.55,970.0,946.05,949.4,55395
2023-10-11,949.0,970.0,945.55,962.9,114516
2023-10-10,939.6,949.0,938.15,940.05,64066
2023-10-09,953.1,954.8,935.45,939.55,39095
2023-10-06,960.05,969.35,958.3,960.75,18950
2023-10-05,982.95,982.95,955.0,959.3,27096
2023-10-04,973.05,997.15,965.3,971.7,135210
2023-10-03,995.0,998.05,970.5,974.25,88149
2023-09-29,1008.0,1012.45,983.75,988.2,298330
2023-09-28,1017.15,1020.95,1003.75,1011.75,53301
2023-09-27,999.0,1020.0,998.05,1017.95,45392
2023-09-26,1018.0,1018.0,1000.0,1006.85,32876
2023-09-25,1019.0,1020.0,1002.3,1012.15,40911
2023-09-22,1023.25,1025.95,999.1,1017.35,61327
2023-09-21,1015.05,1025.6,1007.15,1023.2,247653
2023-09-20,1000.05,1025.0,989.15,1012.5,68148
2023-09-18,1011.05,1029.75,1000.4,1004.55,58319
2023-09-15,987.7,1011.95,983.8,1006.2,179671
2023-09-14,990.05,998.85,981.45,983.8,43518
2023-09-13,993.3,1003.05,966.9,984.15,167342
2023-09-12,1020.05,1026.6,984.9,1005.55,277697
2023-09-11,1017.9,1025.0,1003.15,1014.95,264360
2023-09-08,1001.0,1012.2,997.3,1001.25,57358
2023-09-07,1008.0,1014.0,995.0,1000.65,211807
2023-09-06,961.05,1014.0,954.4,1006.15,128488
2023-09-05,959.0,968.0,952.05,961.6,38713
2023-09-04,950.05,962.65,942.0,959.0,234170
2023-09-01,922.05,956.05,905.25,949.55,146876
2023-08-31,935.35,959.95,920.05,928.05,438576
2023-08-30,974.0,978.1,965.25,970.65,129067
2023-08-29,985.0,985.0,963.5,975.5,77431
2023-08-28,995.55,998.95,965.65,980.05,142086
