Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,6149.8999,6220.0,6064.0498,6120.0,9604
2024-01-19,5996.8501,6110.0,5953.0,6098.1499,16357
2024-01-18,5980.15,6027.75,5846.2,5987.3,14253
2024-01-17,5787.1499,5974.0,5787.1499,5921.5,3008
2024-01-16,5889.8501,5960.6001,5835.0,5903.5498,46403
2024-01-15,5835.0,5921.0,5803.6499,5893.2998,12240
2024-01-12,5876.0,5919.9502,5750.0,5797.6499,8977
2024-01-11,5798.1499,5890.0,5798.1499,5869.5,2350
2024-01-10,5805.0,5818.8501,5723.75,5797.8999,5235
2024-01-09,5695.7998,5847.8501,5679.4502,5799.7002,8149
2024-01-08,5751.0,5763.8999,5639.7002,5683.6499,5623
2024-01-05,5760.0,5808.75,5713.0498,5754.4502,2132
2024-01-04,5780.0,5836.0498,5735.3999,5761.2002,6180
2024-01-03,5700.1499,5786.8999,5675.3501,5773.25,5816
2024-01-02,5749.4502,5771.75,5684.0,5734.5498,4388
2024-01-01,5764.9502,5764.9502,5710.8999,5748.0,2512
2023-12-29,5715.7002,5763.6499,5683.0,5701.2002,5207
2023-12-28,5700.7002,5770.0,5680.0498,5759.9502,13941
2023-12-27,5640.0,5716.7002,5618.2998,5680.1001,6660
2023-12-26,5557.4502,5644.7002,5545.0,5632.1499,10251
2023-12-22,5520.4502,5549.6499,5464.6001,5539.6499,7506
2023-12-21,5338.6001,5550.0,5286.0,5478.0498,9611
2023-12-20,5599.3999,5602.0,5372.8501,5393.1499,7068
2023-12-19,5498.75,5670.0,5498.75,5552.8501,22349
2023-12-18,5547.8999,5606.2002,5495.0,5498.75,4532
2023-12-15,5549.8999,5588.3501,5500.0,5547.8999,7835
2023-12-14,5500.3501,5530.0,5455.2998,5516.75,12164
2023-12-13,5421.4502,5453.8501,5370.0,5434.0498,3032
2023-12-12,5542.75,5550.75,5402.25,5426.8501,15960
2023-12-11,5576.3501,5576.3501,5493.0498,5546.6499,3246
2023-12-08,5495.0,5568.5,5447.6499,5549.2998,7499
2023-12-07,5523.0,5523.0,5442.1001,5460.5,7572
2023-12-06,5500.0498,5636.7998,5500.0498,5542.5,7470
2023-12-05,5590.0,5687.0,5524.1001,5572.8501,12971
2023-12-04,5591.2002,5656.6499,5570.0498,5622.4502,5624
2023-12-01,5589.9502,5685.5498,5529.0,5586.2998,15017
2023-11-30,5399.9502,5545.0,5399.9502,5530.1499,5687
2023-11-29,5390.0,5437.1001,5366.3999,5419.2002,3914
2023-11-28,5439.8999,5439.8999,5340.6499,5366.6001,4969
2023-11-24,5515.0,5515.0,5394.2002,5401.6001,3747
2023-11-23,5535.0,5548.4502,5472.6001,5492.75,7204
2023-11-22,5463.0,5539.9502,5443.1001,5532.5,6219
2023-11-21,5466.1001,5511.8999,5425.2002,5463.6499,3686
2023-11-20,5476.6001,5595.0,5457.5,5473.6001,10070
2023-11-17,5359.9502,5493.3501,5305.2998,5476.6001,19487
2023-11-16,5225.0,5366.7002,5205.2002,5341.8999,30032
2023-11-15,5299.9502,5299.9502,5207.0,5223.7002,6918
2023-11-13,5242.0498,5275.6499,5200.0,5223.2998,3131
2023-11-10,5333.9502,5337.25,5218.5,5278.75,10342
2023-11-09,5152.4502,5314.1001,5122.6001,5297.4502,15360
2023-11-08,5130.0498,5144.7002,5088.2998,5110.6499,6028
2023-11-07,5180.9502,5180.9502,5123.3501,5137.7998,14156
2023-11-06,5149.9502,5229.75,5140.0,5165.0,12000
2023-11-03,4950.0,5163.6001,4933.3999,5154.75,24646
2023-11-02,4868.5,4895.0,4830.5,4885.1499,4025
2023-11-01,4801.8999,4854.7998,4789.2002,4794.8999,2935
2023-10-31,4845.0,4896.5498,4806.3999,4818.7998,6041
2023-10-30,4897.7002,4897.7002,4781.3999,4848.7002,2338
2023-10-27,4761.1499,4860.8501,4761.1499,4829.25,5002
2023-10-26,4850.0498,4850.0498,4727.0,4760.3999,25614
2023-10-25,4948.5,4967.2998,4835.9502,4855.4502,5965
2023-10-23,4994.9502,5007.6001,4948.25,4969.0498,2218
2023-10-20,4974.75,4999.0,4943.0,4971.1001,2692
2023-10-19,4952.1499,5017.7998,4936.0,4991.25,44072
2023-10-18,4993.9502,5044.3999,4940.0,4975.5,4132
2023-10-17,5037.2002,5065.0,5014.1001,5027.8501,2358
2023-10-16,5016.2002,5049.0,4986.9502,5016.5,2957
2023-10-13,4999.9502,5026.1499,4933.8501,5016.1499,10042
2023-10-12,5080.0498,5108.3501,4872.9502,4997.3999,6605
2023-10-11,5025.0498,5137.6499,5025.0498,5091.75,104664
2023-10-10,5050.0,5083.1001,5032.8501,5062.75,2755
2023-10-09,4845.0498,5066.8999,4845.0498,5045.3501,2177
2023-10-06,5027.0498,5085.0498,5027.0498,5056.7998,4141
2023-10-05,5048.0498,5075.0,5027.3501,5047.5,4771
