Date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,2753.0,2753.0,2716.85,2735.05,483007
2024-01-18,2700.0,2742.0,2700.0,2734.9,158982
2024-01-17,2729.85,2772.0,2711.0,2722.8,115862
2024-01-16,2781.85,2792.5,2741.0,2747.65,153804
2024-01-15,2746.9,2792.65,2732.0,2787.5,121727
2024-01-12,2718.3999,2746.45,2691.55,2740.1001,606506
2024-01-11,2655.7,2724.95,2655.7,2718.3999,344195
2024-01-10,2580.6001,2658.95,2577.3,2649.95,458001
2024-01-09,2597.3501,2607.05,2576.25,2580.6001,140422
2024-01-08,2612.3999,2632.0,2568.3,2586.1001,87501
2024-01-05,2600.1499,2619.45,2597.95,2606.75,465515
2024-01-04,2589.3999,2609.75,2580.0,2597.3999,162584
2024-01-03,2608.1001,2634.0,2577.1499,2582.95,107501
2024-01-02,2587.6499,2614.8999,2573.5,2610.8999,86186
2024-01-01,2581.05,2606.0,2573.55,2589.8501,67641
2023-12-29,2608.05,2614.8,2579.1499,2584.8501,848448
2023-12-28,2587.0,2611.3501,2587.0,2605.8,183810
2023-12-27,2578.5,2599.3501,2572.25,2586.3501,103806
2023-12-26,2570.0,2592.8999,2563.0,2577.5,90284
2023-12-22,2562.2,2580.55,2548.0,2564.7,524558
2023-12-21,2510.45,2572.5,2510.45,2562.2,364795
2023-12-20,2560.3,2597.8501,2520.0,2527.3501,649409
2023-12-19,2537.7,2573.0,2525.8501,2558.45,234379
2023-12-18,2494.2,2534.3999,2491.05,2519.95,196178
2023-12-15,2472.1499,2499.95,2469.05,2495.2,681578
2023-12-14,2453.0,2475.0,2442.7,2464.5,3647716
2023-12-13,2427.75,2438.0,2406.3,2433.3999,137296
2023-12-12,2458.0,2464.8999,2420.25,2423.95,98105
2023-12-11,2452.1499,2467.3999,2452.1499,2459.05,169515
2023-12-08,2461.2,2475.7,2444.5,2456.2,1107109
2023-12-07,2460.7,2461.05,2442.0,2457.6001,2891485
2023-12-06,2443.25,2473.6001,2440.3,2460.7,130350
2023-12-05,2433.0,2440.5,2421.3501,2437.55,390820
2023-12-04,2440.05,2445.0,2395.0,2421.0,6478365
2023-12-01,2381.0,2396.8999,2380.0,2393.45,2830557
2023-11-30,2398.0,2400.5,2371.25,2376.3999,4376134
2023-11-29,2405.1499,2411.75,2398.25,2400.5,323782
2023-11-28,2393.0,2398.8,2375.0,2394.55,353122
2023-11-24,2390.2,2402.3999,2390.2,2394.3,584860
2023-11-23,2387.75,2401.25,2387.75,2395.1499,227525
2023-11-22,2372.7,2394.75,2372.3999,2387.75,63242
2023-11-21,2362.05,2387.6499,2359.3999,2378.5,76008
2023-11-20,2349.0,2358.0,2336.8501,2349.3,163824
2023-11-17,2357.3501,2373.0,2353.0,2355.8501,573100
2023-11-16,2349.95,2373.7,2346.8,2363.3501,435606
2023-11-15,2335.5,2362.3501,2326.8,2356.8999,104539
2023-11-13,2325.0,2325.0,2311.6499,2314.3,127884
2023-11-10,2308.0,2317.0,2298.1499,2314.3,499796
2023-11-09,2330.55,2336.55,2305.0,2310.6499,211600
2023-11-08,2333.7,2341.0,2322.6001,2336.6001,317763
2023-11-07,2337.75,2339.45,2320.0,2324.2,205366
2023-11-06,2334.95,2340.0,2326.05,2339.05,326958
2023-11-03,2328.6499,2335.0,2314.8999,2319.05,813331
2023-11-02,2309.0,2324.0,2306.5,2319.8501,84609
2023-11-01,2289.8999,2317.5,2275.25,2296.6499,263097
2023-10-31,2332.95,2332.95,2282.8,2288.55,146839
2023-10-30,2283.95,2324.6001,2272.0,2311.3501,271749
2023-10-27,2242.0,2274.05,2236.05,2265.25,793186
2023-10-26,2257.95,2258.0,2221.05,2226.2,682499
2023-10-25,2252.95,2281.5,2242.3999,2258.0,217481
2023-10-23,2292.0,2306.7,2254.25,2262.6499,250465
2023-10-20,2302.45,2314.8,2296.05,2299.1499,474553
2023-10-19,2314.95,2321.3999,2301.55,2305.55,590336
2023-10-18,2355.25,2367.1499,2320.2,2323.6001,260837
2023-10-17,2352.45,2360.0,2342.0,2355.6001,135643
2023-10-16,2348.0,2354.0,2336.0,2342.8999,208827
2023-10-13,2342.8999,2358.0,2330.0,2350.7,686714
2023-10-12,2347.6499,2359.0,2338.05,2348.8501,308005
2023-10-11,2314.8999,2349.5,2314.0,2345.0,1384096
2023-10-10,2305.05,2317.8999,2303.45,2308.55,87798
2023-10-09,2309.95,2312.55,2295.0,2297.75,96352
2023-10-06,2322.95,2325.0,2312.0,2317.8999,356117
2023-10-05,2325.0,2329.0,2310.0,2313.8501,194952
2023-10-04,2312.0,2318.7,2295.1499,2314.3,269205
2023-10-03,2337.0,2337.0,2316.0,2318.25,266890
2023-09-29,2347.95,2369.5,2334.1001,2346.5,152169
2023-09-28,2384.0,2384.0,2325.6499,2334.0,314683
