Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,1404.0,1405.2,1375.75,1383.45,36831
2024-01-19,1375.0,1397.25,1366.15,1389.7,285914
2024-01-18,1325.4,1369.2,1306.8,1355.25,132583
2024-01-17,1313.9,1333.95,1305.0,1326.7,56344
2024-01-16,1333.95,1333.95,1310.0,1319.55,88106
2024-01-15,1333.7,1401.5,1333.7,1338.1,171611
2024-01-12,1266.15,1312.0,1266.15,1307.55,227072
2024-01-11,1244.9,1262.0,1242.0,1248.5,254377
2024-01-10,1238.9,1245.85,1230.0,1241.15,20502
2024-01-09,1240.0,1251.0,1232.4,1234.6,26276
2024-01-08,1249.05,1253.85,1221.0,1227.05,63121
2024-01-05,1253.6,1271.15,1245.05,1249.05,203431
2024-01-04,1249.8,1254.6,1231.6,1247.9,82704
2024-01-03,1266.3,1273.0,1240.0,1244.2,34692
2024-01-02,1299.35,1299.35,1273.15,1277.9,52583
2024-01-01,1270.7,1304.0,1265.2,1298.1,39009
2023-12-29,1286.0,1291.7,1268.0,1272.6,93935
2023-12-28,1286.3,1288.45,1271.0,1286.15,66088
2023-12-27,1290.0,1290.9,1267.9,1280.2,27496
2023-12-26,1274.5,1288.8,1260.55,1281.15,53142
2023-12-22,1256.45,1281.35,1241.8,1274.5,91952
2023-12-21,1229.65,1258.0,1224.95,1249.95,35809
2023-12-20,1282.85,1314.3,1238.15,1247.15,133510
2023-12-19,1300.25,1301.1,1269.15,1281.55,35761
2023-12-18,1309.95,1332.6,1286.55,1291.5,77499
2023-12-15,1266.05,1324.75,1262.3,1304.45,231218
2023-12-14,1231.85,1271.0,1231.4,1264.0,336281
2023-12-13,1227.25,1229.9,1197.3,1216.45,66621
2023-12-12,1236.6,1241.0,1219.5,1226.15,23480
2023-12-11,1229.0,1240.0,1225.65,1232.9,70693
2023-12-08,1228.7,1237.6,1217.15,1225.65,192468
2023-12-07,1226.0,1231.0,1220.0,1223.3,45402
2023-12-06,1223.0,1246.4,1218.95,1225.45,132669
2023-12-05,1225.0,1225.0,1209.0,1220.25,62897
2023-12-04,1233.0,1248.35,1218.25,1223.55,58641
2023-12-01,1221.05,1226.35,1212.0,1220.45,136691
2023-11-30,1221.45,1228.1,1209.3,1220.6,31786
2023-11-29,1208.0,1234.5,1207.25,1221.45,105255
2023-11-28,1190.15,1209.0,1185.6,1203.25,39991
2023-11-24,1212.65,1214.0,1196.3,1198.45,122686
2023-11-23,1210.15,1220.25,1207.0,1210.45,24850
2023-11-22,1205.5,1217.8,1204.8,1215.25,57948
2023-11-21,1217.05,1220.9,1200.5,1205.5,22420
2023-11-20,1201.0,1222.5,1200.75,1211.6,78743
2023-11-17,1209.05,1214.85,1197.5,1204.25,108703
2023-11-16,1173.85,1214.4,1166.45,1206.35,161305
2023-11-15,1135.1,1178.6,1135.1,1173.85,54031
2023-11-13,1144.95,1144.95,1128.2,1131.25,13003
2023-11-10,1120.05,1139.5,1120.05,1138.25,105666
2023-11-09,1139.15,1139.2,1117.55,1124.0,57340
2023-11-08,1152.9,1153.0,1137.3,1139.15,29214
2023-11-07,1144.7,1150.0,1137.0,1148.6,33767
2023-11-06,1144.9,1144.95,1134.8,1142.85,19463
2023-11-03,1126.35,1135.8,1116.8,1132.95,116415
2023-11-02,1119.1,1130.4,1114.0,1115.9,29911
2023-11-01,1132.1,1138.2,1121.2,1124.65,36204
2023-10-31,1139.85,1139.85,1115.7,1133.15,19442
2023-10-30,1121.7,1138.95,1119.0,1126.85,79934
2023-10-27,1116.55,1125.6,1112.8,1120.65,79253
2023-10-26,1089.0,1118.9,1089.0,1116.0,131734
2023-10-25,1158.0,1165.4,1136.6,1141.7,20567
2023-10-23,1169.95,1169.95,1151.55,1155.15,40114
2023-10-20,1171.1,1176.55,1148.9,1170.55,477231
2023-10-19,1174.0,1184.85,1167.0,1170.7,42569
2023-10-18,1197.45,1200.2,1178.65,1186.05,193005
2023-10-17,1193.3,1202.0,1188.4,1197.25,30439
2023-10-16,1194.15,1195.95,1180.5,1183.55,82623
2023-10-13,1189.85,1201.75,1178.65,1194.15,337262
2023-10-12,1231.35,1231.4,1190.0,1197.7,65181
2023-10-11,1229.65,1238.55,1222.0,1231.25,55403
2023-10-10,1203.05,1231.25,1203.05,1228.45,42033
2023-10-09,1200.05,1227.55,1200.0,1211.6,45018
2023-10-06,1205.6,1223.2,1205.6,1216.2,124027
2023-10-05,1218.5,1223.9,1199.6,1205.8,37772
2023-10-04,1210.0,1212.0,1186.5,1204.75,75892
2023-10-03,1220.2,1230.4,1213.2,1215.55,62229
2023-09-29,1229.45,1231.8,1210.05,1223.1,101778
2023-09-28,1286.0,1286.0,1221.85,1229.5,200153
2023-09-27,1274.95,1294.0,1265.0,1288.65,52193
2023-09-26,1295.25,1302.1,1279.25,1282.35,23357
2023-09-25,1305.0,1313.85,1296.4,1299.0,56606
2023-09-22,1292.8,1319.95,1284.1,1305.0,145648
2023-09-21,1265.05,1295.85,1265.05,1292.85,46549
2023-09-20,1285.0,1288.95,1269.85,1274.2,34721
2023-09-18,1308.75,1308.75,1283.6,1289.4,35035
2023-09-15,1278.95,1303.35,1273.9,1298.95,59053
2023-09-14,1257.85,1289.0,1257.85,1279.65,594118
2023-09-13,1260.0,1268.55,1253.8,1259.85,30376
2023-09-12,1270.0,1283.9,1251.65,1265.15,46506
2023-09-11,1263.0,1275.05,1263.0,1268.7,33278
2023-09-08,1269.45,1276.8,1258.9,1262.4,88800
2023-09-07,1244.65,1274.85,1238.8,1269.3,78993
2023-09-06,1251.25,1259.95,1235.8,1248.15,78146
2023-09-05,1259.9,1266.4,1248.7,1256.05,59492
2023-09-04,1231.3,1265.5,1226.05,1256.45,79735
2023-09-01,1203.0,1229.8,1203.0,1227.15,58205
2023-08-31,1196.85,1214.4,1196.85,1201.75,34389
2023-08-30,1203.5,1221.0,1194.05,1196.9,75853
2023-08-29,1197.0,1207.8,1190.0,1198.05,43707
2023-08-28,1181.05,1195.8,1181.05,1184.55,103012
