Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,75.21,75.21,74.96,75.0,433524
2024-01-25 18:00:00,74.73,75.21,74.73,75.21,433498
2024-01-25 17:00:00,75.2,75.2,75.2,75.2,6
2024-01-25 16:00:00,75.205,75.34,74.74,74.74,1461115
2024-01-25 15:00:00,75.13,75.3,74.831,75.21,735104
2024-01-25 14:00:00,74.91,75.2,74.83,75.135,381109
2024-01-25 13:00:00,74.65,75.07,74.65,74.92,275563
2024-01-25 12:00:00,74.66,74.68,74.335,74.64,257435
2024-01-25 11:00:00,74.79,74.97,74.55,74.65,346287
2024-01-25 10:00:00,75.62,75.74,74.74,74.8,414547
2024-01-25 09:00:00,73.33,75.69,73.33,75.56,476735
2024-01-25 08:00:00,73.33,73.33,73.155,73.155,42
2024-01-24 19:00:00,73.33,73.83,73.33,73.83,250586
2024-01-24 18:00:00,73.51,73.86,73.03,73.03,250654
2024-01-24 16:00:00,73.32,73.33,73.0,73.0,826600
2024-01-24 15:00:00,73.27,73.37,72.85,73.33,550471
2024-01-24 14:00:00,73.24,73.33,73.12,73.29,165171
2024-01-24 13:00:00,73.66,73.71,73.2,73.25,145142
2024-01-24 12:00:00,74.26,74.26,73.545,73.65,143219
2024-01-24 11:00:00,74.1,74.42,74.1,74.26,231852
2024-01-24 10:00:00,74.14,74.2,73.43,74.08,187415
2024-01-24 09:00:00,73.89,74.76,73.685,74.1,168717
2024-01-24 08:00:00,74.0,74.0,72.3,73.89,131
2024-01-24 07:00:00,73.28,73.69,73.28,73.69,20
2024-01-24 06:00:00,73.5,73.5,73.28,73.28,2
2024-01-23 19:00:00,73.07,73.07,73.07,73.07,296043
2024-01-23 18:00:00,73.2,73.3,73.07,73.07,296073
2024-01-23 17:00:00,73.07,73.07,73.01,73.01,1963
2024-01-23 16:00:00,73.07,75.09,72.58,73.07,1007858
2024-01-23 15:00:00,73.1,73.38,72.975,73.07,551540
2024-01-23 14:00:00,72.94,73.15,72.726,73.11,216636
2024-01-23 13:00:00,73.01,73.12,72.801,72.95,182637
2024-01-23 12:00:00,73.4,73.45,72.89,73.02,231486
2024-01-23 11:00:00,73.18,73.43,73.04,73.4,452572
2024-01-23 10:00:00,73.98,74.03,72.94,73.18,245038
2024-01-23 09:00:00,73.79,74.94,73.79,73.9,194674
2024-01-23 08:00:00,73.49,73.916,73.49,73.6,64
2024-01-23 07:00:00,73.61,73.61,73.61,73.61,1
2024-01-23 06:00:00,74.49,74.49,74.49,74.49,7
2024-01-22 19:00:00,73.49,73.5,73.49,73.5,349052
2024-01-22 18:00:00,73.4,73.5,73.4,73.49,349061
2024-01-22 17:00:00,73.16,73.49,73.16,73.4,15161
2024-01-22 16:00:00,73.5,73.52,73.49,73.49,1200965
2024-01-22 15:00:00,73.35,73.68,73.21,73.5,944784
2024-01-22 14:00:00,73.33,73.45,72.97,73.345,318962
2024-01-22 13:00:00,73.49,73.735,73.26,73.32,259274
2024-01-22 12:00:00,73.22,73.59,73.14,73.49,259946
2024-01-22 11:00:00,72.75,73.39,72.68,73.22,514720
2024-01-22 10:00:00,72.52,73.19,72.51,72.76,599271
2024-01-22 09:00:00,71.3,72.56,69.77,72.48,220717
2024-01-22 08:00:00,71.0,72.28,71.0,71.4,826
2024-01-22 07:00:00,71.32,71.32,70.5,71.3,420
2024-01-19 19:00:00,71.0,71.0,70.48,70.48,276089
2024-01-19 18:00:00,71.0,71.0,70.75,70.75,276089
2024-01-19 17:00:00,71.0,71.1,70.9,71.0,38705
2024-01-19 16:00:00,71.0,71.09,70.58,70.97,905636
2024-01-19 15:00:00,71.28,71.38,70.9,71.0,616177
2024-01-19 14:00:00,71.06,71.43,71.03,71.29,186584
2024-01-19 13:00:00,70.86,71.12,70.81,71.055,147451
2024-01-19 12:00:00,70.73,70.88,70.49,70.88,167615
2024-01-19 11:00:00,70.47,70.84,70.395,70.73,204382
2024-01-19 10:00:00,70.36,70.5,69.88,70.47,262982
2024-01-19 09:00:00,71.98,71.98,69.66,70.28,241783
2024-01-19 08:00:00,70.94,70.94,70.02,70.02,2
2024-01-19 07:00:00,70.94,70.94,70.94,70.94,2
2024-01-19 06:00:00,70.4,70.4,70.4,70.4,10
2024-01-19 04:00:00,70.34,70.34,70.34,70.34,1
2024-01-18 19:00:00,70.94,71.94,70.94,71.28,273983
2024-01-18 18:00:00,71.0,71.0,70.94,70.95,273853
2024-01-18 17:00:00,71.28,71.28,71.28,71.28,5
2024-01-18 16:00:00,70.93,71.28,70.91,70.94,879779
2024-01-18 15:00:00,70.84,71.09,70.8,70.93,674427
2024-01-18 14:00:00,70.51,70.86,70.5,70.84,181174
2024-01-18 13:00:00,70.64,70.78,70.49,70.51,151501
2024-01-18 12:00:00,70.7,70.835,70.345,70.63,313560
2024-01-18 11:00:00,70.905,70.91,70.585,70.7,217021
2024-01-18 10:00:00,71.14,71.54,70.84,70.9,307336
2024-01-18 09:00:00,71.51,72.1,71.09,71.14,118138
2024-01-18 08:00:00,71.14,71.5,71.14,71.5,416
2024-01-18 07:00:00,71.46,71.5,71.19,71.5,154
2024-01-17 19:00:00,71.14,71.14,71.14,71.14,414918
2024-01-17 18:00:00,71.14,71.4,71.14,71.4,414923
2024-01-17 16:00:00,71.135,71.26,67.62,67.62,1426489
2024-01-17 15:00:00,71.06,71.32,70.94,71.14,544672
2024-01-17 14:00:00,70.75,71.085,70.69,71.06,221152
2024-01-17 13:00:00,70.73,70.819,70.55,70.75,158801
2024-01-17 12:00:00,70.92,70.985,70.71,70.71,158522
2024-01-17 11:00:00,71.25,71.33,70.88,70.93,247285
2024-01-17 10:00:00,71.565,71.81,71.06,71.26,284580
2024-01-17 09:00:00,71.14,72.55,70.965,71.565,151922
2024-01-17 08:00:00,71.86,72.55,71.02,71.02,11231
