Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,20.09,20.18,20.09,20.18,323191
2024-01-25 18:00:00,19.97,20.09,19.97,20.0,322996
2024-01-25 17:00:00,20.14,20.17,20.14,20.17,198
2024-01-25 16:00:00,20.09,20.15,20.07,20.15,985569
2024-01-25 15:00:00,20.105,20.12,20.08,20.09,1749242
2024-01-25 14:00:00,20.1,20.11,20.07,20.105,636230
2024-01-25 13:00:00,20.105,20.16,20.09,20.105,813748
2024-01-25 12:00:00,20.115,20.12,20.09,20.1,606442
2024-01-25 11:00:00,20.095,20.135,20.05,20.115,699478
2024-01-25 10:00:00,19.975,20.1,19.935,20.1,1471375
2024-01-25 09:00:00,20.0,20.02,19.86,19.975,969451
2024-01-25 08:00:00,19.998,20.03,19.86,19.93,175
2024-01-25 07:00:00,20.0,20.0,20.0,20.0,4
2024-01-25 04:00:00,19.94,20.05,19.94,20.04,4402
2024-01-24 19:00:00,19.99,20.17,19.99,20.04,537146
2024-01-24 18:00:00,20.2,20.2,19.87,20.0,537916
2024-01-24 17:00:00,19.99,20.17,19.86,19.99,8131
2024-01-24 16:00:00,19.99,20.17,19.92,19.92,1640061
2024-01-24 15:00:00,20.005,20.04,19.99,19.99,1857815
2024-01-24 14:00:00,20.065,20.07,20.0,20.005,1386562
2024-01-24 13:00:00,20.105,20.11,20.05,20.065,1180204
2024-01-24 12:00:00,20.125,20.15,20.082,20.105,1200485
2024-01-24 11:00:00,20.13,20.18,20.1,20.125,1172888
2024-01-24 10:00:00,19.995,20.175,19.96,20.125,1695866
2024-01-24 09:00:00,19.97,20.13,19.97,20.0,1406898
2024-01-24 08:00:00,20.108,20.19,19.89,20.1,563
2024-01-24 07:00:00,20.0,20.1,19.98,20.01,1147
2024-01-24 06:00:00,20.05,20.05,20.03,20.05,4
2024-01-24 05:00:00,20.01,20.08,20.01,20.08,90
2024-01-24 04:00:00,19.85,19.9,19.85,19.9,412
2024-01-23 19:00:00,19.79,19.85,19.79,19.8,587984
2024-01-23 18:00:00,19.79,19.84,19.79,19.84,588136
2024-01-23 17:00:00,19.81,19.82,19.8,19.8,91
2024-01-23 16:00:00,19.79,19.87,19.79,19.81,1785762
2024-01-23 15:00:00,19.78,19.82,19.77,19.79,1550120
2024-01-23 14:00:00,19.755,19.79,19.74,19.785,638044
2024-01-23 13:00:00,19.78,19.8,19.745,19.755,741882
2024-01-23 12:00:00,19.795,19.81,19.77,19.78,713227
2024-01-23 11:00:00,19.87,19.9,19.79,19.795,1113515
2024-01-23 10:00:00,19.885,19.955,19.87,19.875,1834098
2024-01-23 09:00:00,19.71,19.92,19.56,19.885,1790777
2024-01-23 08:00:00,19.73,19.93,19.51,19.71,756
2024-01-23 07:00:00,19.73,19.73,19.73,19.73,4
2024-01-23 06:00:00,19.73,19.73,19.73,19.73,1
2024-01-23 05:00:00,19.73,19.73,19.73,19.73,492
2024-01-22 19:00:00,19.87,19.87,19.87,19.87,254253
2024-01-22 18:00:00,19.87,19.87,19.85,19.85,254099
2024-01-22 17:00:00,19.87,19.87,19.87,19.87,10881
2024-01-22 16:00:00,19.86,19.87,19.86,19.87,792114
2024-01-22 15:00:00,19.9,19.91,19.86,19.86,1447820
2024-01-22 14:00:00,19.89,19.91,19.88,19.9,543196
2024-01-22 13:00:00,19.905,19.91,19.85,19.885,444202
2024-01-22 12:00:00,19.87,19.93,19.84,19.905,397269
2024-01-22 11:00:00,19.865,19.93,19.845,19.87,832662
2024-01-22 10:00:00,19.99,20.0,19.845,19.865,805204
2024-01-22 09:00:00,19.89,19.985,19.845,19.985,1053878
2024-01-22 08:00:00,19.88,19.93,19.85,19.89,2504
2024-01-22 07:00:00,19.93,19.93,19.93,19.93,3
