Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,66.0,66.0,65.5,65.58,1612285
2024-01-25 18:00:00,65.8,66.0,65.75,65.775,1611853
2024-01-25 17:00:00,65.78,65.94,65.75,65.91,14548
2024-01-25 16:00:00,66.01,66.14,65.76,65.88,5150007
2024-01-25 15:00:00,65.775,66.02,65.57,66.0,3909677
2024-01-25 14:00:00,65.445,65.78,65.14,65.78,1641226
2024-01-25 13:00:00,65.71,65.93,65.42,65.449,1847960
2024-01-25 12:00:00,65.81,65.97,65.275,65.705,2709860
2024-01-25 11:00:00,65.29,66.03,64.97,65.815,4341889
2024-01-25 10:00:00,63.91,65.29,63.71,65.29,4231857
2024-01-25 09:00:00,64.22,64.35,63.77,63.91,1280238
2024-01-25 08:00:00,63.63,64.3,63.56,64.275,20394
2024-01-25 07:00:00,63.74,63.89,63.6,63.72,2824
2024-01-25 06:00:00,63.66,63.78,63.56,63.78,3348
2024-01-25 05:00:00,63.78,63.84,63.62,63.66,772
2024-01-25 04:00:00,63.75,64.19,63.73,63.78,976
2024-01-24 19:00:00,63.76,63.9,63.5,63.9,1182900
2024-01-24 18:00:00,63.8,63.9,63.76,63.8,1182083
2024-01-24 17:00:00,64.02,64.2,63.76,63.9,5705
2024-01-24 16:00:00,63.77,64.05,63.6,63.995,3935832
2024-01-24 15:00:00,63.78,63.84,63.515,63.77,3208606
2024-01-24 14:00:00,63.89,63.97,63.515,63.775,1476323
2024-01-24 13:00:00,64.345,64.35,63.83,63.895,1801329
2024-01-24 12:00:00,64.15,64.398,64.135,64.325,1551519
2024-01-24 11:00:00,63.71,64.17,63.67,64.15,2327606
2024-01-24 10:00:00,63.815,63.98,63.475,63.71,2778625
2024-01-24 09:00:00,63.92,64.1,63.22,63.815,2369286
2024-01-24 08:00:00,63.798,64.45,63.617,63.935,83955
2024-01-24 07:00:00,63.76,63.94,63.72,63.81,22825
2024-01-24 06:00:00,63.71,63.83,63.5,63.7,8840
2024-01-24 05:00:00,64.64,64.71,63.5,63.9,22226
2024-01-24 04:00:00,64.57,64.75,64.45,64.64,2132
2024-01-23 19:00:00,64.32,64.48,64.32,64.44,952816
2024-01-23 18:00:00,64.3,64.5,64.3,64.4,952852
2024-01-23 17:00:00,64.3,64.544,64.25,64.37,3075
2024-01-23 16:00:00,64.33,64.33,64.13,64.25,3113705
2024-01-23 15:00:00,64.085,64.42,64.04,64.33,2930270
2024-01-23 14:00:00,64.23,64.275,63.83,64.09,1624171
2024-01-23 13:00:00,63.97,64.31,63.955,64.23,1475448
2024-01-23 12:00:00,63.892,63.98,63.69,63.96,1202640
2024-01-23 11:00:00,63.775,64.08,63.75,63.9,1602825
2024-01-23 10:00:00,64.475,64.61,63.76,63.77,2286587
2024-01-23 09:00:00,64.61,64.81,64.17,64.47,1239509
2024-01-23 08:00:00,64.35,64.87,64.143,64.68,28306
2024-01-23 07:00:00,64.37,64.48,64.32,64.38,5944
2024-01-23 06:00:00,64.15,64.38,64.12,64.37,942
2024-01-23 05:00:00,64.39,64.5,64.08,64.15,3810
2024-01-23 04:00:00,64.72,64.72,64.3,64.39,2653
2024-01-22 19:00:00,64.55,64.6,64.5,64.55,1894541
2024-01-22 18:00:00,64.6,64.6,64.45,64.58,1914091
2024-01-22 17:00:00,64.545,64.6,64.45,64.575,576147
2024-01-22 16:00:00,64.56,64.76,64.46,64.5,6377082
2024-01-22 15:00:00,64.395,64.79,64.365,64.55,4015885
2024-01-22 14:00:00,64.36,64.47,64.15,64.4,935623
2024-01-22 13:00:00,64.56,64.56,64.255,64.36,1317067
2024-01-22 12:00:00,64.64,64.695,64.43,64.56,1036515
2024-01-22 11:00:00,64.53,64.92,64.44,64.635,1449052
2024-01-22 10:00:00,64.76,64.99,64.285,64.525,3116232
2024-01-22 09:00:00,65.19,65.61,64.36,64.76,2694520
2024-01-22 08:00:00,65.44,65.796,64.885,65.185,56375
2024-01-22 07:00:00,65.4,65.5,65.29,65.38,30941
2024-01-22 06:00:00,65.58,65.8,65.4,65.45,8178
2024-01-22 05:00:00,65.49,65.6,65.45,65.58,2164
2024-01-22 04:00:00,65.65,65.65,65.26,65.49,2043
2024-01-19 19:00:00,65.11,65.23,65.0,65.23,1552633
2024-01-19 18:00:00,65.1,65.11,64.99,65.06,1554295
2024-01-19 17:00:00,65.045,65.11,64.99,65.0,2141
2024-01-19 16:00:00,65.112,65.25,64.6,65.1,5063633
2024-01-19 15:00:00,65.035,65.23,64.86,65.124,3704128
2024-01-19 14:00:00,65.075,65.385,64.99,65.035,2595128
2024-01-19 13:00:00,64.895,65.15,64.83,65.08,2707281
2024-01-19 12:00:00,64.98,65.0,64.81,64.9,1619797
2024-01-19 11:00:00,64.86,65.225,64.8,64.975,2438648
2024-01-19 10:00:00,64.76,64.95,64.43,64.85,2286493
2024-01-19 09:00:00,64.93,64.99,64.41,64.76,2905848
2024-01-19 08:00:00,64.95,65.15,64.812,64.94,41259
