Date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,524.05,528.0,517.0,519.55,172382
2024-01-18,518.15,530.0,508.0,524.65,90371
2024-01-17,530.0,530.0,511.0,520.45,198783
2024-01-16,541.7,541.95,530.0,533.9,194112
2024-01-15,545.15,546.0,540.0,541.45,85765
2024-01-12,545.3,545.6,540.0,540.95,147725
2024-01-11,549.0,549.0,539.5,540.6,69517
2024-01-10,546.75,548.9,537.0,542.05,66577
2024-01-09,546.7,554.65,535.0,539.4,112830
2024-01-08,552.0,555.0,535.2,541.6,214003
2024-01-05,563.4,565.0,547.0,551.85,154041
2024-01-04,549.0,558.0,536.0,555.9,572000
2024-01-03,535.1,544.65,525.1,544.65,1103400
2024-01-02,524.0,525.0,514.5,518.75,185451
2024-01-01,525.05,534.15,520.0,525.3,89103
2023-12-29,519.0,531.0,515.05,524.85,84514
2023-12-28,521.9,525.8,512.0,521.25,102335
2023-12-27,515.0,530.65,512.15,521.55,270097
2023-12-26,518.0,519.0,510.0,512.15,88999
2023-12-22,519.4,519.4,496.0,511.8,194479
2023-12-21,490.0,518.0,483.75,512.05,459088
2023-12-20,534.0,540.0,509.05,509.2,453216
2023-12-19,539.0,545.0,528.0,535.8,129979
2023-12-18,538.0,546.0,530.0,538.65,171459
2023-12-15,532.0,545.0,521.25,537.05,290677
2023-12-14,510.1,530.85,510.1,527.85,322971
2023-12-13,518.05,520.6,498.0,505.6,533526
2023-12-12,527.35,529.3,512.0,516.55,331277
2023-12-11,535.9,543.25,515.0,525.95,1404002
2023-12-08,567.95,570.0,517.3,533.9,1211131
2023-12-07,569.9,574.95,552.1,562.05,2640229
2023-12-06,545.0,589.3,540.0,560.55,6671011
2023-12-05,464.8,545.85,454.75,538.5,5143120
2023-12-04,495.0,495.0,458.75,464.6,1103747
2023-12-01,436.25,454.7,435.45,440.2,813937
2023-11-30,433.95,436.1,417.1,431.3,1489305
2023-11-29,456.8,470.9,427.5,433.55,3726980
2023-11-28,406.0,464.3,406.0,445.8,4650627
2023-11-24,382.15,400.4,380.55,396.9,606763
2023-11-23,388.75,390.75,380.1,381.65,253487
2023-11-22,392.5,395.7,385.65,386.75,274054
2023-11-21,390.05,397.0,390.05,392.45,369379
2023-11-20,386.8,393.05,384.25,389.9,924845
2023-11-17,388.65,391.85,386.0,387.4,357020
2023-11-16,389.4,395.0,386.4,389.3,378158
2023-11-15,395.3,397.3,388.1,390.6,763526
2023-11-13,398.65,399.45,388.0,390.85,936065
2023-11-10,399.95,406.9,394.85,399.1,1204617
2023-11-09,394.4,409.4,391.1,401.1,2662633
2023-11-08,384.0,395.05,381.35,393.45,852048
2023-11-07,393.7,401.85,380.1,383.3,648271
2023-11-06,387.65,397.3,381.6,393.7,675068
2023-11-03,377.0,389.5,376.0,384.5,833018
2023-11-02,367.15,393.15,365.55,372.75,1543792
2023-11-01,363.1,372.8,357.85,365.0,484078
2023-10-31,360.35,367.5,359.3,362.7,589364
2023-10-30,354.7,359.8,345.2,357.85,838314
2023-10-27,331.95,364.85,331.6,354.1,2296672
2023-10-26,310.0,338.1,289.3,328.3,1438581
2023-10-25,324.95,360.0,310.15,312.65,1152238
2023-10-23,340.5,342.0,314.05,316.5,558039
2023-10-20,343.35,346.3,336.0,338.1,266402
2023-10-19,333.05,346.95,331.25,344.4,730293
2023-10-18,336.55,339.45,332.0,333.9,526507
2023-10-17,331.55,344.1,331.0,335.6,874110
2023-10-16,340.05,343.7,327.15,329.95,569371
2023-10-13,345.0,345.0,341.15,341.85,579507
2023-10-12,350.5,353.95,346.35,347.25,411130
2023-10-11,353.85,358.8,348.3,349.9,428873
2023-10-10,343.55,352.7,343.3,349.6,434006
2023-10-09,333.35,354.2,333.35,341.95,1539461
2023-10-06,366.55,371.0,363.25,364.9,255164
2023-10-05,373.0,376.0,364.0,365.8,262399
2023-10-04,367.1,377.5,361.8,371.8,1066291
2023-10-03,376.05,376.95,363.0,367.05,278309
2023-09-29,375.95,378.95,373.25,377.15,667248
2023-09-28,376.0,379.95,372.35,375.25,419557
2023-09-27,378.05,378.85,373.45,375.3,290063
2023-09-26,381.0,382.75,376.0,377.45,310018
2023-09-25,383.5,385.85,378.15,380.5,445860
2023-09-22,385.45,389.35,380.0,383.1,549033
2023-09-21,366.1,384.95,364.25,382.4,1477367
2023-09-20,371.5,373.55,366.05,368.55,429849
2023-09-18,379.25,383.15,372.9,374.8,366477
2023-09-15,378.2,383.95,377.05,379.2,513511
2023-09-14,379.8,384.05,375.1,377.05,738925
2023-09-13,385.95,392.4,367.1,376.5,1114806
2023-09-12,405.55,410.0,373.1,386.15,3358585
2023-09-11,372.25,403.15,372.25,398.5,4562844
2023-09-08,359.05,372.2,357.5,369.3,2399795
2023-09-07,349.2,361.95,345.0,358.8,2727053
2023-09-06,343.05,350.0,339.2,347.6,881951
2023-09-05,345.5,351.95,335.95,342.2,970615
2023-09-04,330.35,345.5,330.35,341.45,1188529
2023-09-01,312.65,335.75,312.5,329.95,1890320
2023-08-31,315.35,324.45,309.05,321.05,3647913
2023-08-30,333.05,336.15,326.6,328.4,683432
2023-08-29,322.05,338.65,315.8,332.5,3002295
2023-08-28,330.65,335.4,317.35,321.8,1066574
2023-08-25,329.55,334.55,318.9,324.9,1894518
