Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,998.85,1049.7,993.85,1026.4,832860
2024-01-19,935.0,988.85,935.0,983.75,562169
2024-01-18,935.0,943.75,871.05,927.15,320628
2024-01-17,945.8,949.8,932.0,934.55,564468
2024-01-16,973.95,973.95,935.55,949.8,255001
2024-01-15,962.0,975.9,951.3,967.3,719713
2024-01-12,948.95,962.25,941.95,951.3,296487
2024-01-11,949.0,951.55,938.15,940.2,281823
2024-01-10,921.25,944.35,907.4,941.55,1007366
2024-01-09,925.9,926.7,912.1,919.35,144531
2024-01-08,918.85,929.5,906.0,916.2,930434
2024-01-05,908.65,923.45,894.0,906.15,334398
2024-01-04,903.05,912.0,895.25,901.15,180145
2024-01-03,885.35,910.0,885.35,899.05,218821
2024-01-02,897.9,903.45,866.8,885.7,601776
2024-01-01,890.05,916.5,888.3,891.9,339790
2023-12-29,871.95,895.0,859.5,886.65,359335
2023-12-28,873.95,875.0,862.0,863.75,482272
2023-12-27,875.0,885.1,858.8,867.75,253059
2023-12-26,865.0,883.2,858.75,869.65,855989
2023-12-22,872.05,887.1,853.8,860.95,1010983
2023-12-21,801.65,874.05,801.65,868.25,2539508
2023-12-20,886.0,889.55,806.1,815.55,873474
2023-12-19,879.35,916.35,852.5,881.3,1952344
2023-12-18,782.05,888.9,778.8,879.1,3612446
2023-12-15,795.1,796.95,779.8,780.95,117663
2023-12-14,795.05,800.0,785.3,790.7,632111
2023-12-13,771.05,781.45,763.5,778.0,367333
2023-12-12,767.1,786.25,763.4,770.6,338998
2023-12-11,750.1,766.8,750.1,761.85,402760
2023-12-08,761.8,769.9,739.1,749.55,202447
2023-12-07,741.05,762.0,731.65,757.5,739226
2023-12-06,717.05,749.75,717.05,740.5,334548
2023-12-05,723.05,729.2,708.9,714.95,136824
2023-12-04,708.95,723.55,705.9,720.55,643273
2023-12-01,707.35,710.0,700.0,701.35,55569
2023-11-30,698.35,709.75,698.35,705.25,248223
2023-11-29,696.55,709.45,696.55,700.7,56210
2023-11-28,698.95,698.95,690.4,696.55,148497
2023-11-24,701.95,704.35,692.0,692.9,32611
2023-11-23,700.05,706.05,699.05,699.7,251466
2023-11-22,708.05,710.5,693.05,700.0,49753
2023-11-21,709.85,720.3,703.5,708.7,143401
2023-11-20,708.05,712.15,695.0,701.2,72494
2023-11-17,678.7,711.5,677.85,707.25,174115
2023-11-16,677.05,683.85,675.65,679.25,38974
2023-11-15,671.05,679.35,671.05,676.95,27132
2023-11-13,677.3,677.3,669.0,670.9,81774
2023-11-10,668.05,676.15,667.0,672.4,27051
2023-11-09,678.05,679.95,664.4,670.2,189692
2023-11-08,694.0,694.0,671.3,676.9,91632
2023-11-07,676.95,683.0,670.0,680.85,71259
2023-11-06,672.95,673.75,666.35,671.4,110880
2023-11-03,659.2,666.0,658.25,663.6,26596
2023-11-02,657.25,663.45,650.05,655.15,82994
2023-11-01,665.7,670.0,652.0,653.0,85467
2023-10-31,665.0,668.45,663.0,665.7,21819
2023-10-30,661.0,665.55,652.5,663.15,32554
2023-10-27,647.95,661.5,647.95,658.95,123378
2023-10-26,655.05,655.05,636.1,645.1,66222
2023-10-25,666.05,673.55,651.05,657.8,54012
2023-10-23,691.85,693.0,662.7,665.95,51838
2023-10-20,698.25,703.35,690.0,691.8,110443
2023-10-19,700.4,704.5,690.55,699.8,38697
2023-10-18,716.65,718.75,699.1,703.7,174210
2023-10-17,703.05,719.15,703.05,714.65,72624
2023-10-16,704.0,709.0,701.4,703.2,34339
2023-10-13,699.8,706.5,694.3,703.95,47213
2023-10-12,704.05,707.0,698.85,700.2,43780
2023-10-11,710.1,711.0,703.65,704.45,36009
2023-10-10,702.05,711.25,702.05,705.6,168057
2023-10-09,702.05,708.6,698.25,703.15,99382
2023-10-06,721.05,722.75,713.7,719.4,204940
2023-10-05,704.1,726.5,704.1,719.7,233146
2023-10-04,702.75,709.35,697.25,704.0,79552
2023-10-03,678.5,707.25,676.85,703.4,108267
2023-09-29,682.15,683.0,673.8,680.7,36870
2023-09-28,686.95,688.0,670.0,672.05,127407
2023-09-27,679.5,686.15,674.4,682.0,99866
2023-09-26,690.35,691.25,680.3,681.55,42738
2023-09-25,666.5,692.0,666.5,689.05,374521
2023-09-22,672.0,675.5,661.05,663.35,74530
2023-09-21,678.95,683.35,668.15,671.25,78424
2023-09-20,686.75,688.55,676.0,678.4,82432
2023-09-18,695.45,697.95,687.55,688.7,68744
2023-09-15,700.05,703.0,694.25,695.45,56672
2023-09-14,698.95,704.5,691.85,696.35,104481
2023-09-13,688.25,694.3,680.45,686.95,120655
2023-09-12,720.05,721.95,686.3,688.1,248533
2023-09-11,734.0,734.0,715.8,717.25,554007
2023-09-08,707.3,758.1,707.3,725.6,1135113
2023-09-07,706.55,713.7,703.7,707.25,298437
2023-09-06,703.95,715.3,696.2,708.5,124409
2023-09-05,706.95,711.0,695.85,701.85,384196
2023-09-04,694.5,708.3,691.9,703.45,263053
2023-09-01,672.25,689.4,672.15,688.15,634717
2023-08-31,675.0,678.6,668.8,672.15,160688
2023-08-30,673.05,682.9,670.7,672.55,63759
2023-08-29,684.0,686.0,670.95,672.35,114842
2023-08-28,658.05,684.0,656.8,677.95,205071
