Date,1. open,2. high,3. low,4. close,5. volume
2024-01-20,243.35,245.4,240.45,241.85,387786
2024-01-19,236.0,242.5,235.0,242.0,902980
2024-01-18,230.25,234.4,224.45,233.45,1422602
2024-01-17,232.65,237.15,230.8,232.3,1366860
2024-01-16,234.95,239.0,231.2,235.1,2002011
2024-01-15,229.2,235.4,224.65,233.55,2639314
2024-01-12,213.95,224.7,212.4,223.35,1552023
2024-01-11,214.3,214.3,210.85,211.75,570721
2024-01-10,215.25,215.25,209.65,212.1,939579
2024-01-09,221.3,221.75,216.0,216.65,442842
2024-01-08,218.8,220.75,217.1,217.8,685127
2024-01-05,215.75,217.5,213.1,216.4,706839
2024-01-04,210.8,215.4,209.4,214.6,832587
2024-01-03,205.75,210.5,204.9,208.2,448823
2024-01-02,205.75,210.65,203.8,207.0,791929
2024-01-01,206.45,207.1,204.65,205.25,562945
2023-12-29,208.25,208.25,204.3,205.05,641567
2023-12-28,206.0,208.9,205.35,208.3,521009
2023-12-27,209.9,209.9,204.55,205.35,452333
2023-12-26,204.95,208.45,203.55,207.25,580286
2023-12-22,204.45,204.5,201.85,203.9,772098
2023-12-21,203.3,206.65,201.25,202.65,884185
2023-12-20,201.9,212.0,201.0,203.15,3888457
2023-12-19,202.45,203.45,199.35,200.4,570003
2023-12-18,201.4,201.55,197.4,198.9,436925
2023-12-15,197.15,201.95,197.0,201.05,1474951
2023-12-14,195.05,196.2,193.3,195.95,607528
2023-12-13,195.65,195.65,192.05,193.15,676334
2023-12-12,197.0,197.85,194.55,195.5,523511
2023-12-11,197.45,200.95,194.2,198.05,441912
2023-12-08,199.95,200.25,194.15,195.9,837356
2023-12-07,201.0,201.0,196.1,199.05,926370
2023-12-06,204.45,204.45,199.15,202.05,317217
2023-12-05,202.85,203.9,199.15,201.95,785200
2023-12-04,195.7,205.75,195.7,202.05,2175001
2023-12-01,195.35,198.2,194.2,194.6,511350
2023-11-30,193.6,195.5,192.1,194.8,630973
2023-11-29,195.4,195.4,191.7,192.05,198728
2023-11-28,189.9,194.4,188.4,193.85,242014
2023-11-24,192.2,192.2,188.3,188.75,220598
2023-11-23,190.9,191.55,189.65,190.6,168238
2023-11-22,191.6,191.9,189.75,190.9,315059
2023-11-21,193.05,193.9,190.95,191.25,598462
2023-11-20,198.45,198.45,197.0,197.85,219513
2023-11-17,201.75,201.75,195.6,196.25,1291263
2023-11-16,202.75,203.35,201.0,201.85,570454
2023-11-15,198.0,203.05,197.65,199.45,1469908
2023-11-13,195.6,197.2,194.2,195.45,848447
2023-11-10,193.45,196.4,192.65,195.75,334910
2023-11-09,196.85,196.85,192.05,192.65,266206
2023-11-08,193.95,196.5,192.35,195.45,374702
2023-11-07,193.3,197.95,192.4,193.2,627644
2023-11-06,190.9,194.1,189.6,193.3,370491
2023-11-03,186.45,190.5,185.8,189.95,464066
2023-11-02,186.65,187.5,185.75,186.3,116158
2023-11-01,186.1,188.75,185.05,186.6,159506
2023-10-31,188.85,189.8,184.2,186.1,277304
2023-10-30,184.8,189.3,184.7,188.8,384776
2023-10-27,181.0,185.75,180.35,184.75,193509
2023-10-26,183.15,184.1,179.8,181.0,247008
2023-10-25,184.8,185.8,183.15,183.9,185079
2023-10-23,186.0,186.0,184.0,184.8,165600
2023-10-20,186.95,187.05,185.75,186.15,80122
2023-10-19,186.25,186.7,185.05,186.25,147197
2023-10-18,187.1,187.9,186.05,186.8,179832
2023-10-17,186.8,186.9,185.7,186.15,137319
2023-10-16,187.05,188.2,186.15,186.5,531270
2023-10-13,184.5,186.25,184.1,184.9,162665
2023-10-12,183.35,184.85,183.05,184.4,107943
2023-10-11,184.2,184.75,182.75,183.15,216455
2023-10-10,182.05,184.45,182.05,183.45,383394
2023-10-09,182.0,184.7,181.3,181.8,480925
2023-10-06,183.7,183.7,180.6,181.35,155240
2023-10-05,181.45,184.0,181.15,182.15,260219
2023-10-04,184.6,184.6,182.2,182.75,380326
2023-10-03,189.8,189.8,183.7,184.6,563477
2023-09-29,188.05,192.25,188.05,191.8,708636
2023-09-28,188.75,189.45,186.5,187.85,512267
2023-09-27,189.1,189.1,186.25,187.25,261373
2023-09-26,186.95,188.1,185.3,187.75,241257
2023-09-25,185.75,186.55,185.3,185.45,181346
2023-09-22,186.05,187.5,184.95,185.15,215810
2023-09-21,188.2,188.3,186.05,186.7,207633
2023-09-20,189.35,189.4,186.25,188.15,311244
2023-09-18,185.1,187.45,185.05,186.7,344792
2023-09-15,191.55,191.55,185.7,186.65,408390
2023-09-14,184.5,188.8,184.25,187.85,1016915
2023-09-13,181.55,184.65,180.85,183.9,584819
2023-09-12,184.25,184.85,180.2,180.9,699873
2023-09-11,185.15,185.65,182.4,183.5,537600
2023-09-08,182.85,184.9,182.3,184.4,292793
2023-09-07,184.5,185.0,181.0,181.55,750761
2023-09-06,184.25,186.7,182.3,182.9,390633
2023-09-05,183.35,186.0,182.25,183.05,765799
2023-09-04,183.65,184.5,181.75,182.8,1035440
2023-09-01,174.3,184.65,174.3,181.65,1672740
2023-08-31,176.0,176.0,173.1,174.25,336390
2023-08-30,175.95,176.9,175.0,175.8,273165
2023-08-29,175.2,176.05,175.0,175.7,149490
2023-08-28,174.85,175.8,174.6,175.15,660590
