Date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,634.2,635.45,624.8,627.7,973239
2024-01-18,625.2,633.35,619.0,628.3,802098
2024-01-17,627.9,636.7,623.5,626.15,546363
2024-01-16,640.65,644.7,633.5,636.8,952215
2024-01-15,639.55,645.5,636.05,640.15,1699670
2024-01-12,624.3,636.5,621.2,633.75,1327491
2024-01-11,625.2,627.15,618.55,620.3,322129
2024-01-10,625.85,625.85,618.2,621.7,690021
2024-01-09,632.15,634.4,624.6,625.4,663360
2024-01-08,641.5,645.0,625.15,627.05,848666
2024-01-05,645.75,651.6,638.0,641.85,667900
2024-01-04,644.15,646.3,639.0,642.7,323484
2024-01-03,639.7,648.0,636.0,643.4,342400
2024-01-02,641.8,647.85,633.8,639.05,860673
2024-01-01,642.7,646.9,637.6,641.95,794497
2023-12-29,646.45,649.5,639.55,641.95,654616
2023-12-28,650.0,653.35,646.4,651.1,483613
2023-12-27,641.4,649.6,639.05,648.35,403417
2023-12-26,639.85,641.3,635.8,637.95,284374
2023-12-22,645.4,649.4,635.25,636.65,1383434
2023-12-21,628.25,648.75,627.2,643.9,561723
2023-12-20,659.4,660.4,633.7,636.15,1323717
2023-12-19,649.0,659.5,640.3,655.6,1186201
2023-12-18,647.4,655.55,642.25,648.85,1806923
2023-12-15,626.15,649.95,619.9,648.4,1121894
2023-12-14,625.3,627.55,622.35,623.55,788104
2023-12-13,614.2,620.5,611.7,619.85,339493
2023-12-12,617.85,617.85,610.85,612.35,597252
2023-12-11,614.95,619.8,613.25,614.35,820051
2023-12-08,610.9,616.6,605.3,614.0,1453429
2023-12-07,608.15,612.8,604.7,611.85,373957
2023-12-06,612.0,613.75,604.4,608.1,1118736
2023-12-05,594.65,611.35,594.65,608.4,951698
2023-12-04,583.35,596.0,583.35,594.65,3410622
2023-12-01,568.25,574.15,566.95,571.85,800596
2023-11-30,570.5,570.5,563.55,564.7,292583
2023-11-29,567.3,569.0,565.05,568.5,648986
2023-11-28,562.5,565.2,561.1,564.55,453783
2023-11-24,562.55,562.55,559.3,560.3,808295
2023-11-23,560.5,563.45,558.35,559.95,434822
2023-11-22,562.05,564.5,555.25,559.1,358645
2023-11-21,565.45,566.7,561.0,561.4,274813
2023-11-20,565.45,566.8,560.45,563.7,618773
2023-11-17,577.75,577.75,562.5,563.15,1489564
2023-11-16,584.65,588.0,583.0,584.4,183402
2023-11-15,586.25,589.0,582.6,584.65,553483
2023-11-13,581.75,582.5,575.2,581.35,1062610
2023-11-10,578.65,580.35,575.4,579.4,601607
2023-11-09,580.5,581.9,576.6,578.75,650487
2023-11-08,581.05,582.5,579.0,580.2,924515
2023-11-07,575.0,582.0,572.65,580.8,1417477
2023-11-06,583.0,583.0,573.2,574.4,1882539
2023-11-03,576.0,579.25,573.45,578.15,1406672
2023-11-02,571.7,575.3,567.75,571.9,473859
2023-11-01,567.05,569.7,563.9,566.2,426099
2023-10-31,568.45,569.6,563.1,565.35,172015
2023-10-30,562.35,566.7,556.6,565.05,242414
2023-10-27,552.85,562.5,549.85,561.0,838984
2023-10-26,552.65,552.65,543.15,547.15,825405
2023-10-25,558.1,560.8,553.65,556.35,646354
2023-10-23,563.25,566.0,551.05,553.05,568113
2023-10-20,570.0,570.25,562.15,563.25,908786
2023-10-19,570.5,573.8,567.05,571.25,365001
2023-10-18,577.05,579.2,569.45,572.65,317937
2023-10-17,578.0,579.95,575.2,576.4,421451
2023-10-16,576.15,578.75,571.55,575.7,539887
2023-10-13,578.8,581.35,575.0,576.15,1136896
2023-10-12,591.7,592.95,585.0,586.2,196449
2023-10-11,596.3,596.9,587.75,588.3,222771
2023-10-10,586.4,594.9,585.8,591.6,188509
2023-10-09,588.75,588.75,581.6,585.0,220637
2023-10-06,594.0,598.9,592.25,594.1,607912
2023-10-05,590.85,594.4,587.25,592.25,235839
2023-10-04,600.75,600.75,584.5,585.95,461669
2023-10-03,597.6,604.45,589.7,602.95,640559
2023-09-29,593.45,600.0,591.45,598.7,657559
2023-09-28,590.7,595.2,589.0,589.95,227736
2023-09-27,594.3,594.35,588.3,589.5,177685
2023-09-26,594.1,595.15,591.4,594.3,385118
2023-09-25,600.05,601.7,590.5,594.1,336421
2023-09-22,593.0,602.0,592.0,598.1,866541
2023-09-21,601.0,606.55,585.0,588.3,440399
2023-09-20,602.35,606.55,599.55,601.05,399803
2023-09-18,596.55,608.25,596.55,603.95,432537
2023-09-15,599.0,600.6,595.2,598.4,314144
2023-09-14,599.35,603.5,595.3,597.2,883061
2023-09-13,587.05,597.95,583.55,596.45,459128
2023-09-12,592.25,594.15,584.5,588.25,589937
2023-09-11,586.2,592.3,585.35,591.55,884258
2023-09-08,580.4,588.2,579.6,583.45,1379972
2023-09-07,570.45,581.0,568.45,579.3,810019
2023-09-06,573.25,573.95,568.1,570.45,406259
2023-09-05,574.65,578.25,571.5,572.9,931075
2023-09-04,570.05,576.3,568.5,575.55,1590128
2023-09-01,563.0,571.35,562.0,569.7,1710220
2023-08-31,568.65,570.25,559.35,561.3,1385583
2023-08-30,575.3,577.6,566.3,567.65,1187186
2023-08-29,573.95,576.25,571.85,575.2,775277
2023-08-28,573.4,574.5,569.2,572.8,623556
2023-08-25,573.55,575.1,567.35,570.25,1483930
