Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,253.13,253.13,252.61,252.99,140833
2024-01-25 18:00:00,253.5,253.5,253.0,253.0,139806
2024-01-25 17:00:00,253.8,253.99,253.0,253.15,184
2024-01-25 16:00:00,253.21,253.88,247.25,253.34,452468
2024-01-25 15:00:00,252.43,253.3,252.04,253.24,355908
2024-01-25 14:00:00,252.43,252.63,252.01,252.49,152037
2024-01-25 13:00:00,253.17,253.67,252.23,252.485,197960
2024-01-25 12:00:00,252.9,253.47,252.57,253.09,197875
2024-01-25 11:00:00,252.98,253.74,252.22,252.81,171872
2024-01-25 10:00:00,253.87,254.845,252.64,253.03,298447
2024-01-25 09:00:00,250.9,253.9,250.0,253.74,157759
2024-01-25 08:00:00,249.11,251.0,248.89,250.5,4926
2024-01-25 07:00:00,249.29,249.29,249.11,249.11,145
2024-01-25 06:00:00,249.0,249.0,249.0,249.0,22
2024-01-25 05:00:00,249.0,249.0,249.0,249.0,13
2024-01-25 04:00:00,248.19,249.8,248.19,249.73,180
2024-01-24 19:00:00,249.73,249.79,249.22,249.79,284971
2024-01-24 18:00:00,250.0,250.0,249.25,249.25,285068
2024-01-24 17:00:00,249.5,250.0,249.2,250.0,6933
2024-01-24 16:00:00,249.77,249.77,249.1,249.44,1004137
2024-01-24 15:00:00,249.51,250.09,248.79,249.77,447628
2024-01-24 14:00:00,250.01,250.01,248.89,249.56,235170
2024-01-24 13:00:00,251.39,251.44,249.695,249.97,293635
2024-01-24 12:00:00,252.69,252.7,251.16,251.39,261714
2024-01-24 11:00:00,252.82,253.36,252.38,252.678,241513
2024-01-24 10:00:00,252.165,253.04,251.24,252.785,280509
2024-01-24 09:00:00,251.81,253.52,251.345,252.23,263309
2024-01-24 08:00:00,250.89,252.0,249.03,251.81,965
2024-01-24 07:00:00,251.1,251.62,251.1,251.55,555
2024-01-24 06:00:00,250.8,251.99,250.8,251.99,27
2024-01-24 05:00:00,250.61,251.01,250.61,251.01,61
2024-01-24 04:00:00,252.0,252.0,250.86,250.86,9
2024-01-23 19:00:00,250.85,251.1,250.85,251.1,114972
2024-01-23 18:00:00,250.84,251.1,250.8,250.89,115355
2024-01-23 17:00:00,250.46,250.88,250.46,250.67,46
2024-01-23 16:00:00,250.85,251.26,250.01,250.46,391118
2024-01-23 15:00:00,251.1,251.45,250.34,250.85,457095
2024-01-23 14:00:00,250.88,251.3,250.61,251.09,192390
2024-01-23 13:00:00,250.37,250.9,250.24,250.86,89225
2024-01-23 12:00:00,250.825,250.96,250.03,250.37,120289
2024-01-23 11:00:00,250.31,251.37,250.3,250.825,175631
2024-01-23 10:00:00,250.93,251.79,249.3,250.3,272591
2024-01-23 09:00:00,251.02,251.84,250.43,251.05,161551
2024-01-23 08:00:00,251.06,251.71,250.02,250.02,1378
2024-01-23 07:00:00,251.06,251.23,250.94,251.0,145
2024-01-23 06:00:00,251.08,251.09,251.0,251.09,12
2024-01-23 04:00:00,250.68,251.17,250.61,251.01,143
2024-01-22 19:00:00,250.69,250.69,250.02,250.69,172307
2024-01-22 18:00:00,250.02,250.69,250.02,250.04,193216
2024-01-22 17:00:00,250.5,250.99,250.02,250.02,125
2024-01-22 16:00:00,250.7,251.25,247.51,250.067,568362
2024-01-22 15:00:00,250.38,250.855,250.07,250.74,518386
2024-01-22 14:00:00,250.48,250.592,250.072,250.35,145860
2024-01-22 13:00:00,249.785,250.48,249.661,250.395,139203
2024-01-22 12:00:00,249.96,250.23,249.31,249.9,185641
2024-01-22 11:00:00,249.37,250.71,248.901,249.89,276320
2024-01-22 10:00:00,250.94,251.73,249.25,249.38,491869
2024-01-22 09:00:00,247.4,251.05,247.0,250.935,294974
2024-01-22 08:00:00,246.183,247.815,244.4,247.01,1943
2024-01-22 07:00:00,246.55,247.19,246.55,247.19,96
2024-01-22 06:00:00,246.45,247.56,246.1,247.2,139
2024-01-22 05:00:00,246.62,246.62,246.62,246.62,1
2024-01-22 04:00:00,246.54,246.54,246.52,246.53,104
2024-01-19 19:00:00,246.53,246.7,246.01,246.7,285114
2024-01-19 18:00:00,246.78,246.78,246.53,246.78,304717
2024-01-19 17:00:00,246.78,246.85,246.54,246.55,512
2024-01-19 16:00:00,246.54,246.78,244.47,246.78,940070
2024-01-19 15:00:00,246.235,246.65,245.68,246.54,553567
2024-01-19 14:00:00,245.06,246.26,244.91,246.24,386477
2024-01-19 13:00:00,244.225,245.07,244.22,245.045,148646
2024-01-19 12:00:00,242.95,244.625,242.83,244.23,221339
2024-01-19 11:00:00,242.375,243.205,242.25,242.9,221876
2024-01-19 10:00:00,243.52,243.71,242.015,242.285,347688
2024-01-19 09:00:00,244.8,245.0,242.31,243.375,158535
2024-01-19 08:00:00,244.85,245.56,243.75,244.8,1184
2024-01-19 07:00:00,244.9,245.0,244.44,245.0,245
2024-01-19 06:00:00,244.55,245.3,244.48,245.3,12
2024-01-19 05:00:00,244.0,244.0,244.0,244.0,1
2024-01-19 04:00:00,244.2,244.2,244.2,244.2,11
2024-01-18 19:00:00,244.07,244.55,244.02,244.55,197276
2024-01-18 18:00:00,243.6,244.1,243.6,244.1,196761
2024-01-18 17:00:00,244.2,244.2,243.59,243.6,372
2024-01-18 16:00:00,244.09,249.305,225.532,225.532,642519
2024-01-18 15:00:00,244.06,244.54,243.9,244.06,429074
2024-01-18 14:00:00,244.25,244.54,243.75,244.075,174672
2024-01-18 13:00:00,243.31,244.37,242.7,244.2,150116
2024-01-18 12:00:00,243.255,243.33,242.43,243.31,216879
2024-01-18 11:00:00,242.22,243.38,242.01,243.21,234297
2024-01-18 10:00:00,243.7,244.68,242.0,242.31,316680
2024-01-18 09:00:00,243.75,245.26,243.18,243.705,218281
2024-01-18 08:00:00,244.18,245.26,243.29,243.5,3098
2024-01-18 07:00:00,244.19,244.5,243.3,244.5,479
2024-01-18 06:00:00,244.3,244.3,244.3,244.3,1
2024-01-18 05:00:00,244.3,244.3,242.74,244.3,27
2024-01-18 04:00:00,243.29,243.29,243.29,243.29,2
2024-01-17 19:00:00,243.29,243.82,243.15,243.25,205717
2024-01-17 18:00:00,243.79,243.88,243.0,243.5,205814
2024-01-17 17:00:00,243.99,244.19,243.0,243.0,17
2024-01-17 16:00:00,243.29,256.46,242.78,243.9,704227
2024-01-17 15:00:00,243.165,243.65,242.68,243.36,413254
