title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
This Dividend King Soared 18.9% in 2023. Is There More Room to Run in 2024?,https://www.fool.com/investing/2024/01/22/this-dividend-king-stock-soared-2023-buy-2024/,20240122T105300,['Daniel Foelber'],"Illinois Tool Works is a perfect example of why it's always better to invest in a quality business, even if it is on the expensive side.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F761319%2Finvestor-smiling-computer-1200x800-5b2df79.jpg&op=resize&w=700,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.99915'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",0.313814,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.04303', 'ticker_sentiment_score': '0.032758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.212674', 'ticker_sentiment_score': '0.270169', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MMM', 'relevance_score': '0.04303', 'ticker_sentiment_score': '0.120268', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ITW', 'relevance_score': '0.822638', 'ticker_sentiment_score': '0.512852', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.04303', 'ticker_sentiment_score': '0.032758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HON', 'relevance_score': '0.04303', 'ticker_sentiment_score': '0.120268', 'ticker_sentiment_label': 'Neutral'}]"
"These 5 Wildly Popular High-Flying Stocks of 2023 Could Be Duds in the Rest of 2024, According to Wall Street",https://www.fool.com/investing/2024/01/22/these-5-wildly-popular-high-flying-stocks-of-2023/,20240122T105000,['Keith Speights'],Analysts have not-so-great expectations going forward for these huge winners.,https://g.foolcdn.com/editorial/images/761848/young-woman-frustrated-laptop.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.839681'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.182612,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.224903', 'ticker_sentiment_score': '0.124941', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.310843', 'ticker_sentiment_score': '0.138121', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.136113', 'ticker_sentiment_score': '0.088872', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.268294', 'ticker_sentiment_score': '0.102004', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.268294', 'ticker_sentiment_score': '0.25253', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Meet the Only 2 Berkshire Hathaway Holdings Warren Buffett Has Suggested Investors Buy,https://www.fool.com/investing/2024/01/22/meet-2-berkshire-stocks-warren-buffett-suggest-buy/,20240122T100600,['Sean Williams'],These two Berkshire holdings have a flawless track record of making patient investors richer.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F761410%2Fbuffett6-tmf.jpg&op=resize&w=700,Motley Fool,n/a,www.fool.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",0.130042,Neutral,"[{'ticker': 'BAC', 'relevance_score': '0.073886', 'ticker_sentiment_score': '0.199047', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.147141', 'ticker_sentiment_score': '0.102445', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.073886', 'ticker_sentiment_score': '0.059433', 'ticker_sentiment_label': 'Neutral'}]"
Could This Be The Future Of Entertainment? Disney Shows Off 'HoloTile' Floor For A 360-Degree VR Experience - Walt Disney  ( NYSE:DIS ) ,https://www.benzinga.com/general/entertainment/24/01/36711617/could-this-be-the-future-of-entertainment-disney-shows-off-holotile-floor-for-a-360-degree-,20240122T091704,['Rounak Jain'],"Disney's research arm has shown off a new cutting-edge technology that could be our first glimpse into the future of entertainment. Named ""HoloTile"" floor, it is being designed by Lanny Smoot and his team, providing users with a 360-degree virtual reality experience.",https://cdn.benzinga.com/files/images/story/2024/Disney-HoloTile.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.238778,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.213048', 'ticker_sentiment_score': '0.422161', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.213048', 'ticker_sentiment_score': '0.272642', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Apple's Vision Pro Hits Pre-Order Jackpot, But Analyst Warns Of Demand Dip Ahead Based On Crucial Metric - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/general/entertainment/24/01/36711160/apples-vision-pro-hits-pre-order-jackpot-but-analyst-warns-of-demand-dip-ahead-based-on-cru,20240122T071142,['Ananya Gairola'],"Tech analyst Ming-Chi Kuo recently shared noteworthy insights from the first pre-order weekend review of Apple Inc.'s AAPL Vision Pro, the company's first mixed-reality headset.",https://cdn.benzinga.com/files/images/story/2024/Apple-Vision-Pro_9.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",0.329043,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.180236', 'ticker_sentiment_score': '0.345203', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Tesla Investor Sees Apple Selling More Vision Pros In 2024 Than EV Giant Delivering Cybertrucks: 'This Bet Is Not Looking Good' - Tesla  ( NASDAQ:TSLA ) ,https://www.benzinga.com/news/24/01/36710990/tesla-investor-sees-apple-selling-more-vision-pros-in-2024-than-ev-giant-delivering-cybertrucks-this,20240122T062358,['Anan Ashraf'],"Ross Gerber, the president and CEO of Gerber Kawasaki Wealth and Investment Management and a Tesla Inc TSLA bull and investor, now sees Apple Inc AAPL selling more Vision Pro reality headsets in 2024 than Tesla would sell Cybertrucks.",https://cdn.benzinga.com/files/images/story/2024/Szczecin-poland-may-2022tesla-Cybertruck.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.154128,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.384397', 'ticker_sentiment_score': '0.194115', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.469744', 'ticker_sentiment_score': '0.132294', 'ticker_sentiment_label': 'Neutral'}]"
Elon Musk Tells Tim Cook He's Looking Forward To 'Trying' Apple Vision Pro Hours After Taking A Swipe At The Mixed Reality Headset - Tesla  ( NASDAQ:TSLA ) ,https://www.benzinga.com/news/24/01/36710585/elon-musk-tells-tim-cook-hes-looking-forward-to-trying-apple-vision-pro-hours-after-taking-a-swipe-a,20240122T033332,['Ananya Gairola'],"Just hours after Tesla Inc. TSLA and SpaceX CEO Elon Musk took a swipe at mixed reality headsets, the billionaire seems to have changed his mind. What Happened: Over the weekend, when a user on X, formerly Twitter, shared a meme depicting how people in the 90's wanted their kids to not sit too ...",https://cdn.benzinga.com/files/images/story/2024/Paris--France---June-16--2023-Elon-Musk-_13.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.255158,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.516656', 'ticker_sentiment_score': '0.418212', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.220809', 'ticker_sentiment_score': '-0.128505', 'ticker_sentiment_label': 'Neutral'}]"
"Stock Market's 'Once-In-A-Generation' Opportunity Is Near, Says Bernstein Analyst: 'You Are Going To See A Bear Market' - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36710497/stock-markets-once-in-a-generation-opportunity-is-near-says-bernstein-analyst-you-a,20240122T024512,['Benzinga Neuro'],"The stock market is showing signs of a forthcoming investment opportunity, according to a recent report by Richard Bernstein Advisors ( RBA ) . The firm's deputy CIO, Dan Suzuki, believes that the current market signals could lead to a significant shift in investment dynamics.",https://cdn.benzinga.com/files/images/story/2024/Bajaj-Electricals-shares-are-surging-tod.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.224316,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.160099', 'ticker_sentiment_score': '0.099997', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.080458', 'ticker_sentiment_score': '0.16923', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Apple's Move To Remove Blood Oxygen Feature In US Watches May Affect Sleep Apnea Detection, Says Mark Gurman - Masimo  ( NASDAQ:MASI ) ",https://www.benzinga.com/news/24/01/36710366/apples-move-to-remove-blood-oxygen-feature-in-us-watches-may-affect-sleep-apnea-detection-says-mark,20240122T015001,['Ananya Gairola'],"Apple Inc. AAPL has halted the sale of smartwatches that come with blood oxygen tracking. However, this move could reportedly influence the company's future healthcare ventures, said Mark Gurman, in the latest installment of his weekly newsletter ""Power On.""",https://cdn.benzinga.com/files/images/story/2024/Apple-Watch-Ultra-2_1.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",-0.121878,Neutral,"[{'ticker': 'MASI', 'relevance_score': '0.321673', 'ticker_sentiment_score': '-0.36208', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.786589', 'ticker_sentiment_score': '-0.237053', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Futures: Three Stocks Near Buy Points,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-sp-500-record-highs-tesla-netflix-earnings-due/,20240121T191400,"['ED CARSON', ""Investor's Business Daily""]","Dow Jones Futures Loom With S&P 500 At Record Highs. Tesla, Netflix Earnings On Tap Investor's Business Daily ...",https://www.investors.com/wp-content/uploads/2023/09/Stock-bullsstampede-01-adobe.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.994953'}]",0.090564,Neutral,"[{'ticker': 'DKNG', 'relevance_score': '0.17641', 'ticker_sentiment_score': '-0.02104', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KLAC', 'relevance_score': '0.17641', 'ticker_sentiment_score': '0.047174', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.126517', 'ticker_sentiment_score': '0.075177', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PCAR', 'relevance_score': '0.126517', 'ticker_sentiment_score': '0.035901', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.101367', 'ticker_sentiment_score': '-0.049459', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SMCI', 'relevance_score': '0.050786', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IVZ', 'relevance_score': '0.025406', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'URI', 'relevance_score': '0.201105', 'ticker_sentiment_score': '0.040135', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.2739', 'ticker_sentiment_score': '-0.060051', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.151539', 'ticker_sentiment_score': '0.054527', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NOW', 'relevance_score': '0.151539', 'ticker_sentiment_score': '0.135391', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LRCX', 'relevance_score': '0.151539', 'ticker_sentiment_score': '0.054527', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BKNG', 'relevance_score': '0.050786', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
