title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Donald Trump Just Killed The Fed's 'Digital Dollar'-While Quietly Leaning Into Bitcoin And Crypto Amid Price Boom,https://www.forbes.com/sites/digital-assets/2024/01/20/donald-trump-just-killed-the-feds-digital-dollar-while-quietly-leaning-into-bitcoin-and-crypto-amid-price-boom/,20240120T123052,['Billy Bambrough'],Former U.S. president and 2024 Republican front-runner Donald Trump has said he'd block the creation of a U.S. central bank digital currency ( CBDC ) -sometimes called a digital dollar-if he retakes the White House this year.,https://imageio.forbes.com/specials-images/imageserve/65ab950f8b31608bbdadec68/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,Forbes,n/a,www.forbes.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.9973'}]",0.065191,Neutral,"[{'ticker': 'COIN', 'relevance_score': '0.054236', 'ticker_sentiment_score': '0.090991', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOX', 'relevance_score': '0.054236', 'ticker_sentiment_score': '0.154069', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.054236', 'ticker_sentiment_score': '0.110965', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.503668', 'ticker_sentiment_score': '0.087452', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.214462', 'ticker_sentiment_score': '0.199049', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Celsius transfers $125M of ETH to exchanges as FTX and Alameda dump,https://cointelegraph.com/news/celsius-ftx-alameda-transfers-millions-in-ether-crypto-to-exchanges,20240115T034257,['Tom Mitchelhill'],The embattled crypto firms have begun transferring large volumes of ETH to centralized exchanges amid wider efforts to start paying back creditors.,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-01/b0baf29b-6f3a-4901-a6f3-508d6978cef0.jpg",Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}]",0.059875,Neutral,"[{'ticker': 'COIN', 'relevance_score': '0.219809', 'ticker_sentiment_score': '0.275856', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.110973', 'ticker_sentiment_score': '0.04942', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.324495', 'ticker_sentiment_score': '0.30396', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.671304', 'ticker_sentiment_score': '0.215583', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:WBTC', 'relevance_score': '0.110973', 'ticker_sentiment_score': '0.245202', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
US bitcoin ETF trades soar to US$4.6 billion on first day,https://www.scmp.com/tech/tech-trends/article/3248152/us-bitcoin-etfs-trades-soar-us46-billion-first-day-after-landmark-sec-approval,20240112T025659,['Reuters'],The ETF launches on Thursday lifted the price of bitcoin up to its highest level since December 2021.,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2024/01/12/ae8a3757-ffff-4ff6-8d4c-962edf286621_a66cec46.jpg,South China Morning Post,Business,www.scmp.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.928139'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}]",0.172139,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.305464', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MARA', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.008958', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSTR', 'relevance_score': '0.042876', 'ticker_sentiment_score': '-0.185185', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'SCBFF', 'relevance_score': '0.042876', 'ticker_sentiment_score': '-0.055516', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRPHF', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.147338', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RIOT', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.008958', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.027734', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IVZ', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.147338', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.042876', 'ticker_sentiment_score': '-0.185185', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.042876', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.21193', 'ticker_sentiment_score': '0.154398', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.085629', 'ticker_sentiment_score': '0.144017', 'ticker_sentiment_label': 'Neutral'}]"
Circle confidentially files for IPO following banner year for crypto stocks,https://www.cnbc.com/2024/01/11/circle-confidentially-files-for-ipo-following-banner-year-for-crypto-.html,20240111T165910,['MacKenzie Sigalos'],"Circle, the issuer of the USDC stablecoin, announced on Thursday that it's confidentially filed paperwork with the SEC for an ...",https://image.cnbcfm.com/api/v1/image/107357180-Screenshot_2024-01-11_at_65013_AM.png?v=1704973870&w=750&h=422&vtcrop=y,CNBC,Top News,www.cnbc.com,"[{'topic': 'IPO', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.818451'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.682689'}]",0.209851,Somewhat-Bullish,"[{'ticker': 'MARA', 'relevance_score': '0.116348', 'ticker_sentiment_score': '0.137138', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSTR', 'relevance_score': '0.116348', 'ticker_sentiment_score': '0.137138', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.116348', 'ticker_sentiment_score': '0.137138', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.230235', 'ticker_sentiment_score': '0.132838', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.441698', 'ticker_sentiment_score': '0.370757', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.116348', 'ticker_sentiment_score': '0.064679', 'ticker_sentiment_label': 'Neutral'}]"
"US Stocks Set For Mixed Open, Cryptos Slip As Bitcoin ETF Decision Day Arrives: Analyst Says S&P 500 Was 'Due For A Break' After Red-Hot 2023 Finish - Biglari Holdings  ( NYSE:BH ) ",https://www.benzinga.com/markets/equities/24/01/36574043/us-stocks-set-for-mixed-open-cryptos-slip-as-bitcoin-etf-decision-day-arrives-analyst-says-s-p-5,20240110T123618,['Shanthi Rexaline'],"The market mood may continue to be lackluster, with index futures indicating a mixed opening on Wednesday. The potential approval of a spot Bitcoin BTC/USD exchange-traded fund is the major event traders are likely anticipating, and a green light from the SEC could spark a rally in both crypto ...",https://cdn.benzinga.com/files/images/story/2024/data-charts_0.png?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.166667'}, {'topic': 'Technology', 'relevance_score': '0.166667'}, {'topic': 'Finance', 'relevance_score': '0.166667'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.166667'}, {'topic': 'Financial Markets', 'relevance_score': '0.998947'}, {'topic': 'Manufacturing', 'relevance_score': '0.166667'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.166667'}]",-0.03888,Neutral,"[{'ticker': 'KBH', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNPR', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.020522', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPQ', 'relevance_score': '0.055236', 'ticker_sentiment_score': '0.018022', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPE', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.020522', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IVZ', 'relevance_score': '0.055236', 'ticker_sentiment_score': '0.219949', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ISRG', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.29228', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'COIN', 'relevance_score': '0.110209', 'ticker_sentiment_score': '0.044396', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.055236', 'ticker_sentiment_score': '-0.107846', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:CAD', 'relevance_score': '0.055236', 'ticker_sentiment_score': '-0.107846', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.110209', 'ticker_sentiment_score': '-0.042375', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.322374', 'ticker_sentiment_score': '0.009572', 'ticker_sentiment_label': 'Neutral'}]"
How and where to start investing in cryptocurrencies in 2024,https://cointelegraph.com/news/start-investing-cryptocurrencies-wallets-exchange,20240105T062440,['Shiraz Jagati'],Take a deep dive into the tools and strategies that crypto novices can use to navigate the digital asset realm in 2024.,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-01/d187cea7-0322-491d-9f36-9e581ea19778.jpg",Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.9545'}, {'topic': 'Financial Markets', 'relevance_score': '0.999767'}]",0.383658,Bullish,"[{'ticker': 'COIN', 'relevance_score': '0.032781', 'ticker_sentiment_score': '0.159444', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.032781', 'ticker_sentiment_score': '0.133086', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.162802', 'ticker_sentiment_score': '0.259176', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.065506', 'ticker_sentiment_score': '0.145277', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:NANO', 'relevance_score': '0.032781', 'ticker_sentiment_score': '0.185373', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"How crypto adoption grew in 2023, from investing to new ventures",https://cointelegraph.com/news/crypto-adoption-2023-investing-ventures,20240104T134500,['Shiraz Jagati'],A look back at the pivotal cryptocurrency adoption milestones of 2023.,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-01/5b4eff38-ccbe-4962-878d-ba2182c22c34.jpg",Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.999994'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.999326'}]",0.28287,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.106659', 'ticker_sentiment_score': '0.167363', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.11053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SCHW', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.126964', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CBOE', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.11053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AWON', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.001814', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.11053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VIRT', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.126964', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.02674', 'ticker_sentiment_score': '0.208027', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.02674', 'ticker_sentiment_score': '-0.017395', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.1331', 'ticker_sentiment_score': '0.172976', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.053449', 'ticker_sentiment_score': '0.037983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:KCS', 'relevance_score': '0.02674', 'ticker_sentiment_score': '-0.017395', 'ticker_sentiment_label': 'Neutral'}]"
Our Pick Of The Best Cryptocurrencies Of January 2024,https://www.forbes.com/uk/advisor/investing/cryptocurrency/top-10-cryptocurrencies-january-2024/,20240102T103548,['Mark Hooson'],Top 10 Cryptocurrencies In January 2024 - Forbes Advisor UK Forbes ...,https://thumbor.forbes.com/thumbor/fit-in/x/https://www.forbes.com/uk/advisor/wp-content/uploads/2022/12/andre-francois-mckenzie-iGYiBhdNTpE-unsplash-scaled-e1670321045384.jpg,Forbes,n/a,www.forbes.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999982'}]",0.109482,Neutral,"[{'ticker': 'COIN', 'relevance_score': '0.03014', 'ticker_sentiment_score': '0.025833', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AWON', 'relevance_score': '0.03014', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LDNXF', 'relevance_score': '0.03014', 'ticker_sentiment_score': '0.025833', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.03014', 'ticker_sentiment_score': '0.062982', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.090247', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.237551', 'ticker_sentiment_score': '0.132414', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.149842', 'ticker_sentiment_score': '0.054284', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:DOGE', 'relevance_score': '0.060236', 'ticker_sentiment_score': '0.200548', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ADA', 'relevance_score': '0.149842', 'ticker_sentiment_score': '0.105179', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BNB', 'relevance_score': '0.03014', 'ticker_sentiment_score': '0.009425', 'ticker_sentiment_label': 'Neutral'}]"
"These are the boldest bitcoin predictions for 2024 - one calls for a 1,000% rally to $500,000",https://www.cnbc.com/2024/01/01/bitcoin-btc-price-predicitions-for-2024.html,20240101T011227,"['Arjun Kharpal', 'Ryan Browne']","Commentators CNBC spoke to, both inside and outside of the cryptocurrency industry, have given various bitcoin price predictions for bitcoin in 2024.",https://image.cnbcfm.com/api/v1/image/107208912-1678874096868-gettyimages-1236743873-FR_20211118_011.jpeg?v=1702544671&w=1920&h=1080,CNBC,Top News,www.cnbc.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Financial Markets', 'relevance_score': '0.999483'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.9545'}]",0.124045,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.055946', 'ticker_sentiment_score': '0.06723', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BTCM', 'relevance_score': '0.02799', 'ticker_sentiment_score': '0.050193', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SCBFF', 'relevance_score': '0.02799', 'ticker_sentiment_score': '0.098889', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.055946', 'ticker_sentiment_score': '0.004009', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.02799', 'ticker_sentiment_score': '0.176756', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.91444', 'ticker_sentiment_score': '0.259833', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Countries around the world are passing crypto laws - but the U.S. is the top cop out there,https://www.cnbc.com/2023/12/31/state-of-crypto-regulation-in-2023-eu-laws-approved-but-us-is-top-cop.html,20231231T204635,"['Ryan Browne', 'MacKenzie Sigalos']","In a year that saw crypto giant Binance hit with a $4 billion settlement and high-profile SEC lawsuits, regulators overseas have been busy pursuing new laws.",https://image.cnbcfm.com/api/v1/image/107323316-16982798321698279830-31748695981-1080pnbcnews.jpg?v=1698280105&w=750&h=422&vtcrop=y,CNBC,Top News,www.cnbc.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.988915'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '1.0'}]",0.055408,Neutral,"[{'ticker': 'MA', 'relevance_score': '0.016761', 'ticker_sentiment_score': '0.012808', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.116914', 'ticker_sentiment_score': '0.014092', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.033515', 'ticker_sentiment_score': '-0.117983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.033515', 'ticker_sentiment_score': '-0.05009', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.083658', 'ticker_sentiment_score': '0.043424', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:FIL', 'relevance_score': '0.016761', 'ticker_sentiment_score': '0.09015', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:UST', 'relevance_score': '0.016761', 'ticker_sentiment_score': '-0.11552', 'ticker_sentiment_label': 'Neutral'}]"
