Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,153.15,153.3,152.86,153.2,32149
2024-01-25 18:00:00,153.253,153.55,153.0,153.225,30696
2024-01-25 17:00:00,153.76,157.086,143.92,153.3,18383
2024-01-25 16:00:00,153.68,154.28,153.19,153.77,4247684
2024-01-25 15:00:00,153.43,153.69,152.955,153.65,3226638
2024-01-25 14:00:00,152.96,153.43,152.745,153.43,1582839
2024-01-25 13:00:00,153.5,153.92,152.86,152.975,2246283
2024-01-25 12:00:00,154.5,154.67,153.31,153.505,2204943
2024-01-25 11:00:00,154.53,154.76,154.24,154.51,2845224
2024-01-25 10:00:00,152.14,154.661,152.025,154.525,4487312
2024-01-25 09:00:00,151.69,152.49,150.73,152.14,2303019
2024-01-25 08:00:00,151.25,151.75,150.07,151.66,70375
2024-01-25 07:00:00,151.25,151.46,151.06,151.19,20382
2024-01-25 06:00:00,150.68,151.53,150.65,151.25,14857
2024-01-25 05:00:00,150.67,150.75,150.6,150.69,4499
2024-01-25 04:00:00,150.6,150.89,150.41,150.7,7063
2024-01-24 19:00:00,150.56,150.65,150.22,150.28,6749
2024-01-24 18:00:00,150.275,150.57,150.2,150.57,321457
2024-01-24 17:00:00,150.33,159.601,150.19,150.35,6887
2024-01-24 16:00:00,150.345,150.35,149.93,150.33,5123074
2024-01-24 15:00:00,150.67,150.75,150.12,150.345,3230540
2024-01-24 14:00:00,150.815,150.96,150.51,150.67,1531525
2024-01-24 13:00:00,151.2,151.265,150.72,150.82,1685580
2024-01-24 12:00:00,150.97,151.24,150.77,151.201,1835217
2024-01-24 11:00:00,151.45,151.57,150.55,150.97,1978715
2024-01-24 10:00:00,150.53,151.52,150.24,151.44,2629672
2024-01-24 09:00:00,149.99,151.09,147.585,150.54,2720622
2024-01-24 08:00:00,149.73,150.25,148.68,150.0,61011
2024-01-24 07:00:00,149.73,150.19,149.62,150.02,26379
2024-01-24 06:00:00,149.9,149.95,149.69,149.71,8031
2024-01-24 05:00:00,149.93,149.97,149.7,149.89,3907
2024-01-24 04:00:00,149.31,150.0,149.29,149.92,17590
2024-01-23 19:00:00,149.2,149.37,149.0,149.29,10393
2024-01-23 18:00:00,149.1,149.27,149.0,149.2,8032
2024-01-23 17:00:00,149.08,149.17,148.68,149.135,14995
2024-01-23 16:00:00,148.69,149.23,148.458,149.08,3255078
2024-01-23 15:00:00,148.275,148.825,148.275,148.68,2350275
2024-01-23 14:00:00,148.32,148.375,148.06,148.27,927111
2024-01-23 13:00:00,148.205,148.478,148.155,148.32,1367350
2024-01-23 12:00:00,148.15,148.24,147.87,148.205,1298272
2024-01-23 11:00:00,148.25,148.27,147.775,148.16,1606546
2024-01-23 10:00:00,148.16,148.86,148.03,148.255,2457466
2024-01-23 09:00:00,147.85,148.995,147.19,148.15,1798881
2024-01-23 08:00:00,147.71,148.17,147.34,147.815,134131
2024-01-23 07:00:00,147.7,147.87,147.59,147.66,9717
2024-01-23 06:00:00,147.38,147.78,147.33,147.78,6903
2024-01-23 05:00:00,147.59,147.59,147.3,147.34,1875
2024-01-23 04:00:00,147.7,147.7,147.41,147.6,7405
